N	2gram	Losev_Dial_3	formyVre
1	и в	24	46
2	в этом	8	22
3	прежде всего	8	14
4	и т	24	14
5	вовсе не	13	13
6	и его	5	12
7	только в	5	11
8	не только	23	11
9	в том	5	10
10	как бы	3	10
11	точки зрения	25	10
12	но в	2	10
13	у него	2	9
14	не в	3	9
15	мы уже	3	9
16	мира и	3	9
17	но и	9	9
18	и не	27	9
19	и для	2	9
20	как и	7	8
21	в его	2	8
22	жизни и	5	8
23	то же	6	8
24	для того	3	8
25	с точки	14	8
26	потому что	7	8
27	из них	3	8
28	вещей и	6	7
29	в них	5	7
30	может быть	13	7
31	то что	14	7
32	так и	5	7
33	и на	3	7
34	никогда не	7	6
35	и во	2	6
36	и все	6	6
37	при этом	2	6
38	как мы	2	6
39	еще не	2	6
40	все же	3	6
41	все это	6	6
42	в особенности	7	6
43	в основе	3	6
44	так как	6	6
45	и с	6	6
46	в частности	2	5
47	в своем	3	5
48	с этим	3	5
49	по существу	2	5
50	в то	5	5
51	но не	2	5
52	он не	5	5
53	в нем	3	5
54	что в	7	5
55	все эти	3	5
56	в смысле	2	5
57	и у	2	5
58	должно быть	3	5
59	отнюдь не	10	4
60	с этой	5	4
61	из этих	2	4
62	же время	3	4
63	же в	2	4
64	том что	8	4
65	так что	8	4
66	есть и	12	4
67	конечно не	4	4
68	мир в	3	4
69	а не	26	4
70	и он	2	4
71	также и	2	4
72	их в	2	4
73	в себе	2	4
74	в истории	4	4
75	о том	6	4
76	и смерть	2	4
77	не было	3	3
78	себя и	2	3
79	к тому	4	3
80	на первый	4	3
81	что он	13	3
82	следовательно и	2	3
83	и как	8	3
84	это значит	24	3
85	тем более	3	3
86	для него	4	3
87	кроме того	6	3
88	этот ряд	2	3
89	хотя и	5	3
90	нет и	4	3
91	точка зрения	5	3
92	что и	6	3
93	ее в	2	3
94	целый ряд	2	3
95	т д	23	3
96	не на	6	3
97	таким образом	13	3
98	и они	2	3
99	в их	2	3
100	уже не	5	3
101	того что	12	3
102	и даже	13	3
103	и по	2	3
104	и прежде	3	3
105	а в	2	3
106	жизнь и	4	3
107	тем что	3	3
108	в виду	7	3
109	из самых	3	2
110	на этом	2	2
111	и есть	16	2
112	говорить о	4	2
113	на котором	2	2
114	с другой	4	2
115	это не	4	2
116	в одной	3	2
117	что все	14	2
118	первый план	4	2
119	их не	2	2
120	по себе	20	2
121	или иной	4	2
122	именно в	2	2
123	у нас	4	2
124	перестает быть	2	2
125	утверждает что	3	2
126	явления и	4	2
127	все что	3	2
128	плоти и	2	2
129	и пр	6	2
130	она не	3	2
131	было бы	5	2
132	со всеми	2	2
133	и к	5	2
134	в сущности	10	2
135	и о	3	2
136	и потому	2	2
137	быть и	3	2
138	не может	19	2
139	и только	6	2
140	если не	3	2
141	с одной	3	2
142	и вот	2	2
143	так же	4	2
144	как на	5	2
145	сами по	3	2
146	в данном	2	2
147	но это	5	2
148	людей и	2	2
149	то в	2	2
150	и от	3	2
151	могут быть	2	2
152	не знает	3	2
153	и это	4	2
154	пространства и	2	2
155	как это	5	2
156	во всяком	2	2
157	значит что	24	2
