N	2gram	Berdyaev_O_1	Narrotol
1	не только	11	31
2	но и	13	27
3	и не	13	23
4	может быть	11	15
5	как и	6	13
6	а не	11	13
7	а в	5	13
8	в этом	12	12
9	и в	19	11
10	и его	4	10
11	то что	5	9
12	в том	5	8
13	не может	4	8
14	у него	22	7
15	том что	2	7
16	но в	2	7
17	не в	11	6
18	и он	8	6
19	в самом	5	6
20	как бы	3	6
21	в себе	3	6
22	в его	7	6
23	в этой	5	6
24	в своей	2	5
25	так и	2	5
26	и на	2	5
27	потому что	9	5
28	с его	4	4
29	никогда не	9	4
30	все же	2	4
31	для него	5	4
32	прежде всего	9	4
33	еще не	3	4
34	к нему	3	4
35	в нем	10	4
36	по себе	2	4
37	того что	3	4
38	того чтобы	4	4
39	хотя и	2	4
40	что у	2	4
41	о том	3	4
42	он сам	4	3
43	что в	4	3
44	в своем	2	3
45	это не	3	3
46	что он	3	3
47	для того	3	3
48	и о	2	3
49	он не	7	3
50	не было	9	3
51	лишь в	7	3
52	и то	2	3
53	и с	2	3
54	и ее	3	3
55	в русской	3	3
56	и все	10	3
57	в этих	3	2
58	о его	5	2
59	все что	3	2
60	до конца	7	2
61	не имеет	2	2
62	хотя бы	3	2
63	жизни в	2	2
64	человека в	11	2
65	и вот	3	2
66	что не	4	2
67	и для	2	2
68	ничего не	2	2
69	сказать что	2	2
70	и от	3	2
71	с ним	3	2
72	это было	3	2
