N	2gram	Propp_Morf_1	TeoriaLi
1	не только	4	18
2	в качестве	5	17
3	тогда как	2	16
4	и не	12	16
5	а в	7	14
6	в частности	2	13
7	и в	13	13
8	состоит в	2	13
9	может быть	52	12
10	так и	6	12
11	представляет собой	17	11
12	в этом	14	11
13	в том	6	11
14	но не	4	10
15	а не	11	10
16	то же	7	9
17	что в	8	8
18	отношению к	4	8
19	но и	4	8
20	по отношению	4	8
21	том что	4	7
22	точки зрения	2	7
23	в то	3	7
24	только в	2	7
25	как это	3	7
26	с его	2	6
27	еще не	3	6
28	как бы	3	6
29	но в	2	6
30	однако в	2	5
31	а также	4	5
32	как и	3	5
33	не в	3	5
34	в пределах	3	5
35	как в	3	5
36	а а	2	5
37	он не	3	5
38	уже не	2	5
39	с другой	8	5
40	между тем	5	5
41	мы имеем	9	5
42	не менее	5	4
43	можно сказать	2	4
44	в ходе	4	4
45	более или	2	4
46	то что	8	4
47	в форме	6	4
48	или менее	2	4
49	приводит к	2	4
50	не может	14	4
51	сказать что	2	4
52	хотя и	3	4
53	и ее	3	4
54	а и	3	4
55	говорить о	3	4
56	ни к	2	3
57	перед нами	10	3
58	и др	10	3
59	в нашем	3	3
60	в этих	13	3
61	он должен	2	3
62	прежде всего	9	3
63	в итоге	2	3
64	и к	4	3
65	тем не	5	3
66	по своему	2	3
67	того что	3	3
68	например в	2	3
69	не все	6	3
70	другой стороны	4	3
71	входит в	2	3
72	таким образом	21	3
73	а с	2	3
74	в другом	2	3
75	и что	2	3
76	и по	2	3
77	или в	4	3
78	потому что	3	3
79	в этой	2	3
80	его в	2	3
81	все эти	2	3
82	герой не	2	3
83	подобных случаях	4	2
84	если бы	2	2
85	могут быть	16	2
86	себя и	2	2
87	между собой	4	2
88	это не	6	2
89	вовсе не	4	2
90	что он	4	2
91	к тому	4	2
92	об этом	4	2
93	но как	2	2
94	и как	5	2
95	что они	2	2
96	а на	3	2
97	в глаза	2	2
98	в большинстве	3	2
99	во втором	3	2
100	из которых	3	2
101	вслед за	5	2
102	здесь мы	3	2
103	чем это	2	2
104	и тем	2	2
105	не с	2	2
106	к нему	3	2
107	в целом	3	2
108	во всех	4	2
109	дело не	2	2
110	со стороны	3	2
111	не на	2	2
112	здесь не	2	2
113	и для	2	2
114	это и	2	2
115	с точки	2	2
116	и иных	2	2
117	так же	3	2
118	право на	2	2
119	и здесь	5	2
120	могла бы	4	2
121	как будто	2	2
122	о том	2	2
123	в которой	3	2
124	к герою	3	2
125	это было	3	2
