N	2gram	Berdyaev_M_2	Problemy
1	и в	46	35
2	из подполья	2	35
3	как бы	8	31
4	и не	18	27
5	что он	7	24
6	в его	5	21
7	но в	10	19
8	не может	15	18
9	к себе	2	18
10	как и	13	18
11	в нем	22	16
12	к другому	3	16
13	то же	5	15
14	с самим	3	15
15	и все	5	15
16	но и	15	14
17	для него	18	14
18	может быть	21	14
19	в сущности	2	14
20	и его	5	14
21	в этом	20	14
22	к нему	2	13
23	с другим	3	13
24	он не	10	13
25	у достоевского	34	12
26	прежде всего	12	12
27	и с	3	12
28	и к	7	12
29	не в	9	10
30	не только	18	10
31	то что	5	10
32	в отношении	5	9
33	самим собою	2	9
34	ни одного	2	9
35	я не	5	8
36	так и	4	8
37	себя и	3	8
38	потому что	12	8
39	и для	7	8
40	лишь в	2	7
41	так же	6	7
42	а в	2	7
43	точки зрения	2	7
44	творчестве достоевского	3	7
45	с ним	3	7
46	с его	4	7
47	себе и	2	7
48	отношению к	2	7
49	что же	2	7
50	отношении к	3	7
51	он сам	6	6
52	что в	4	6
53	в каждом	3	6
54	к тому	5	6
55	но это	8	6
56	что они	3	6
57	и что	2	6
58	отношение к	8	6
59	в самом	5	6
60	что у	4	6
61	и на	3	6
62	не знает	9	6
63	по отношению	2	6
64	только в	3	6
65	в конце	5	5
66	в том	3	5
67	да и	2	5
68	так что	2	5
69	как к	2	5
70	его с	2	5
71	к самому	2	5
72	как в	7	5
73	к своему	2	5
74	в себе	10	5
75	и это	5	5
76	настасья филипповна	4	5
77	все время	2	4
78	но на	2	4
79	никогда не	18	4
80	та же	10	4
81	в такой	3	4
82	или иной	2	4
83	в мире	7	4
84	до конца	4	4
85	на его	2	4
86	его отношение	4	4
87	не о	2	4
88	же и	2	4
89	он хочет	3	4
90	и вот	5	4
91	между тем	2	4
92	но он	11	4
93	обращен к	4	4
94	его в	3	4
95	так как	8	4
96	бы в	2	4
97	человек и	2	4
98	сознания и	2	4
99	у него	22	4
100	в них	3	4
101	по себе	2	4
102	во всем	5	4
103	тот же	2	4
104	ивана карамазова	7	4
105	с которым	3	4
106	еще в	2	4
107	в своей	5	4
108	другого в	2	4
109	а не	13	4
110	что не	2	4
111	тем что	3	4
112	он в	3	4
113	как будто	2	4
114	что это	6	4
115	в творчестве	3	4
116	в чем	3	4
117	уже в	2	3
118	и от	3	3
119	в братьях	2	3
120	высшей степени	3	3
121	совсем не	5	3
122	нет в	4	3
123	отношением к	2	3
124	не мог	3	3
125	братьях карамазовых	2	3
126	того что	6	3
127	должно быть	2	3
128	это не	5	3
129	сказать что	3	3
130	и во	3	3
131	в высшей	3	3
132	поэтому он	2	3
133	друг к	5	3
134	него и	2	3
135	бы его	2	3
136	это и	3	3
137	том что	4	3
138	достоевского нет	2	3
139	и своего	2	3
140	во всех	2	3
141	не могу	6	3
142	он уже	2	3
143	другим и	2	3
144	сам не	2	3
145	достоевского в	2	3
146	что и	4	3
147	к другу	5	3
148	мышкина и	2	3
149	уже не	4	3
150	другого человека	2	3
151	только с	3	3
152	ничего не	2	3
153	ставрогина к	2	2
154	в этих	2	2
155	тому что	4	2
156	для этого	4	2
157	и мир	2	2
158	не знал	3	2
159	переходит в	8	2
160	что все	5	2
161	вопрос о	6	2
162	одна и	3	2
163	ни в	3	2
164	на этом	2	2
165	всю жизнь	3	2
166	было в	3	2
167	со своим	2	2
168	хотя и	2	2
169	в своем	8	2
170	те же	5	2
171	достоевского и	2	2
172	но эта	2	2
173	увидим что	2	2
174	тому как	2	2
175	но для	2	2
176	он так	2	2
177	в ней	11	2
178	к ней	2	2
179	для достоевского	8	2
180	по своей	3	2
181	о том	3	2
182	как он	3	2
183	нет ни	2	2
184	я и	2	2
185	и та	2	2
186	этого необходимо	3	2
187	в жизни	4	2
188	с собой	2	2
189	момент его	2	2
190	его нельзя	2	2
191	то в	2	2
192	него нет	5	2
193	смердяков и	2	2
194	если я	2	2
195	мы увидим	2	2
196	уже все	2	2
197	друг друга	12	2
198	с таким	2	2
199	себя в	4	2
200	вместе с	2	2
201	быть и	2	2
202	этот процесс	2	2
203	бы и	5	2
204	бы не	2	2
205	жизнь и	4	2
206	все равно	3	2
207	чтобы не	3	2
208	и он	11	2
209	хотя бы	7	2
210	иван карамазов	13	2
211	в которой	2	2
212	той же	3	2
213	можно было	2	2
214	не случайно	2	2
215	сам по	2	2
216	то все	2	2
217	подобно тому	2	2
218	и самое	2	2
219	в обычном	2	2
220	много раз	2	2
