N	2gram	Ircho_Kome_2	OGranits
1	и в	26	13
2	и его	12	12
3	прежде всего	4	9
4	не может	3	8
5	и не	14	8
6	может быть	11	8
7	и их	3	7
8	точки зрения	4	7
9	в его	4	7
10	таким образом	6	6
11	не только	7	6
12	то что	6	6
13	только в	4	6
14	как бы	2	6
15	все же	4	5
16	хотя бы	2	5
17	то же	3	4
18	не является	2	4
19	тех пор	3	4
20	в своей	3	4
21	до тех	3	4
22	все это	3	4
23	в каждом	3	4
24	в двух	6	4
25	мы не	2	4
26	мы можем	3	4
27	было бы	8	4
28	но в	3	4
29	отношению к	3	3
30	что в	9	3
31	но и	10	3
32	так и	12	3
33	в их	3	3
34	по отношению	3	3
35	и все	2	3
36	в одном	2	3
37	в ее	2	3
38	да и	3	3
39	как и	4	3
40	не в	2	3
41	в которой	5	3
42	говорить о	2	3
43	с этим	5	3
44	и для	4	3
45	так как	4	3
46	еще в	4	2
47	не менее	4	2
48	уже в	4	2
49	с этой	3	2
50	в нем	6	2
51	пути к	2	2
52	в целом	4	2
53	связанных с	2	2
54	с г	2	2
55	с другой	2	2
56	от всех	2	2
57	в них	4	2
58	в связи	3	2
59	а в	3	2
60	мы понимаем	2	2
61	с одной	2	2
62	в течение	2	2
63	вовсе не	2	2
64	роль в	2	2
65	в тех	3	2
66	с самого	2	2
67	к тому	12	2
68	и к	2	2
69	как в	3	2
70	если бы	9	2
71	не имеет	3	2
72	в г	17	2
73	в том	11	2
74	наконец в	2	2
75	том что	9	2
76	с ними	2	2
77	в этом	10	2
78	от этого	2	2
79	тем что	3	2
80	между тем	4	2
81	и ее	2	2
82	в руках	4	2
83	тот же	2	2
84	одной стороны	2	2
85	в действительности	2	2
86	в самом	4	2
87	вслед за	2	2
88	бы в	2	2
89	в ней	3	2
