N	2gram	Voloshinov_1	Tragedij
1	и в	15	18
2	в этом	13	9
3	не только	5	8
4	он сам	4	7
5	и не	16	7
6	и на	3	7
7	и с	7	7
8	может быть	13	7
9	как бы	11	7
10	что он	8	6
11	и его	15	6
12	же время	5	6
13	у него	3	6
14	но в	9	6
15	все же	5	5
16	что это	3	5
17	так и	10	5
18	это не	2	5
19	не может	13	5
20	то же	7	5
21	в дальнейшем	2	5
22	как и	6	5
23	в то	6	5
24	но и	4	4
25	то что	10	4
26	в целом	2	4
27	что в	6	4
28	все это	5	4
29	я не	3	4
30	прежде всего	11	4
31	и все	4	4
32	в нем	4	4
33	и даже	2	4
34	том что	5	4
35	но это	2	4
36	в этой	5	4
37	и что	3	4
38	в себе	4	4
39	еще не	7	4
40	об этом	4	4
41	один из	4	3
42	с ее	3	3
43	отнюдь не	2	3
44	в своем	2	3
45	как в	3	3
46	все эти	9	3
47	к нему	7	3
48	в основном	2	3
49	должно быть	2	3
50	в его	9	3
51	для него	5	3
52	при этом	7	3
53	с ним	12	3
54	и до	3	2
55	ребенка в	3	2
56	не могут	3	2
57	что и	2	2
58	на всем	2	2
59	в душе	13	2
60	в силах	2	2
61	и за	2	2
62	данном случае	3	2
63	отцом и	3	2
64	по мнению	6	2
65	что все	5	2
66	уже не	5	2
67	бы и	2	2
68	с его	8	2
69	отношение к	7	2
70	к тому	4	2
71	ни в	6	2
72	он был	3	2
73	в ее	4	2
74	в том	4	2
75	до конца	5	2
76	но все	2	2
77	в таком	3	2
78	не в	4	2
79	в данном	3	2
80	и то	2	2
81	одна из	3	2
82	потому что	4	2
83	в первом	2	2
84	чем он	2	2
85	он и	2	2
86	и ее	3	2
87	по поводу	2	2
88	его в	8	2
89	в самом	6	2
90	во сне	2	2
91	ничего не	2	2
92	он не	4	2
93	в одном	3	2
94	что она	2	2
95	отца и	3	2
96	никогда не	7	2
