N	3gram	Vygotskiy__1	Vvedenie
1	и т д	8	36
2	для того чтобы	5	20
3	о том что	7	12
4	в том что	9	12
5	тем не менее	2	8
6	не может быть	8	8
7	в этом смысле	2	8
8	в самом деле	7	6
9	до сих пор	3	6
10	в применении к	2	6
11	и т п	15	5
12	с другой стороны	5	5
13	в том чтобы	7	5
14	с одной стороны	5	4
15	само по себе	5	4
16	в этом отношении	2	4
17	во всяком случае	6	4
18	в собственном смысле	3	3
19	и в самом	2	3
20	вместе с тем	2	3
21	сама по себе	2	3
22	заключается в том	6	3
23	как будто бы	2	2
24	смысле этого слова	2	2
25	и той же	3	2
26	в конце концов	3	2
27	по этому поводу	2	2
28	с точки зрения	2	2
29	не в том	5	2
30	точно так же	3	2
31	в целом ряде	2	2
32	и что следовательно	2	2
33	что в этом	3	2
34	то же самое	2	2
35	состоит в том	2	2
36	тем или иным	2	2
37	подобно тому как	5	2
38	одной и той	3	2
39	потому что он	2	2
