N	2gram	Tiupa_Narr_1	Otkroven
1	у него	7	22
2	и в	11	19
3	но и	27	13
4	и не	23	13
5	в этом	12	12
6	а не	13	11
7	не в	6	11
8	человека в	2	11
9	может быть	15	11
10	не только	31	11
11	и все	3	10
12	в нем	4	10
13	никогда не	4	9
14	не было	3	9
15	потому что	5	9
16	прежде всего	4	9
17	и он	6	8
18	лишь в	3	7
19	до конца	2	7
20	он не	3	7
21	в его	6	7
22	как и	13	6
23	то что	9	5
24	а в	13	5
25	о его	2	5
26	в том	8	5
27	для него	4	5
28	в этой	6	5
29	в самом	6	5
30	с его	4	4
31	он сам	3	4
32	того чтобы	4	4
33	что не	2	4
34	и его	10	4
35	не может	8	4
36	что в	3	4
37	к нему	4	3
38	в этих	2	3
39	это не	3	3
40	и вот	2	3
41	что он	3	3
42	того что	4	3
43	для того	3	3
44	хотя бы	2	3
45	еще не	4	3
46	и от	2	3
47	все что	2	3
48	и ее	3	3
49	в себе	6	3
50	в русской	3	3
51	о том	4	3
52	с ним	2	3
53	как бы	6	3
54	это было	2	3
55	все же	4	2
56	и для	2	2
57	так и	5	2
58	жизни в	2	2
59	в своем	3	2
60	что у	4	2
61	по себе	4	2
62	не имеет	2	2
63	том что	7	2
64	и на	5	2
65	и то	3	2
66	сказать что	2	2
67	и с	3	2
68	в своей	5	2
69	и о	3	2
70	ничего не	2	2
71	хотя и	4	2
72	но в	7	2
