N	2gram	Losev_Dial_3	VerxiiNi
1	и в	24	26
2	таким образом	13	22
3	в этом	8	15
4	точки зрения	25	13
5	как бы	3	12
6	в том	5	11
7	может быть	13	10
8	не только	23	10
9	и с	6	10
10	из этих	2	10
11	что в	7	9
12	но и	9	9
13	так как	6	9
14	с другой	4	8
15	но не	2	8
16	и не	27	8
17	и у	2	8
18	как на	5	8
19	том что	8	7
20	одной стороны	3	7
21	из них	3	7
22	к нему	3	7
23	то что	14	7
24	с одной	3	7
25	потому что	7	7
26	но в	2	7
27	к тому	4	6
28	и потому	2	6
29	несмотря на	2	6
30	всяком случае	2	6
31	что и	6	6
32	все же	3	6
33	так и	5	6
34	все это	6	6
35	все эти	3	6
36	с точки	14	6
37	во всяком	2	6
38	в себе	2	6
39	о том	6	6
40	и к	5	5
41	крайней мере	5	5
42	тому же	2	5
43	в его	2	5
44	никогда не	7	5
45	так же	4	5
46	а не	26	5
47	для того	3	5
48	не имеет	11	5
49	в силу	3	5
50	и для	2	5
51	по крайней	5	5
52	учение о	8	4
53	и от	3	4
54	что все	14	4
55	что он	13	4
56	в нем	3	4
57	очень мало	2	4
58	в смысле	2	4
59	из которых	3	4
60	в самом	7	4
61	целый ряд	2	4
62	не может	19	4
63	и только	6	4
64	а в	2	4
65	то же	6	4
66	что оно	7	4
67	и что	15	4
68	и тогда	5	4
69	и по	2	4
70	ничем не	7	4
71	в виде	8	4
72	он не	5	4
73	в то	5	4
74	только в	5	4
75	не менее	11	3
76	же как	2	3
77	что это	12	3
78	если бы	6	3
79	так или	2	3
80	как о	4	3
81	хотя бы	4	3
82	точно так	2	3
83	ясно что	7	3
84	для него	4	3
85	так что	8	3
86	и как	8	3
87	в своем	3	3
88	и нет	7	3
89	случае не	3	3
90	и если	2	3
91	и о	3	3
92	не вполне	2	3
93	тем не	10	3
94	при этом	2	3
95	уже не	5	3
96	того что	12	3
97	и даже	13	3
98	в таком	14	3
99	или иначе	2	3
100	с этой	5	3
101	не могут	4	2
102	с его	2	2
103	только не	10	2
104	именно в	2	2
105	одно из	5	2
106	перестает быть	2	2
107	из себя	2	2
108	в них	5	2
109	превращается в	6	2
110	может ли	3	2
111	тогда когда	5	2
112	прежде всего	8	2
113	утверждать что	6	2
114	на то	3	2
115	или иной	4	2
116	тех пор	2	2
117	и здесь	2	2
118	по существу	2	2
119	из соединения	2	2
120	что именно	3	2
121	все что	3	2
122	же время	3	2
123	ни один	2	2
124	что мы	8	2
125	еще не	2	2
126	со всеми	2	2
127	и больше	4	2
128	конечно не	4	2
129	то ясно	3	2
130	той или	2	2
131	но если	6	2
132	и является	2	2
133	он один	2	2
134	бы то	2	2
135	жизни и	5	2
136	и сами	2	2
137	быть и	3	2
138	основано на	2	2
139	только что	4	2
140	отличается от	8	2
141	для этого	2	2
142	иной раз	2	2
143	грань между	2	2
144	не было	3	2
145	если не	3	2
146	можно только	4	2
147	этой точки	2	2
148	его не	2	2
149	с тех	2	2
150	и на	3	2
151	людей и	2	2
152	от бога	2	2
153	сказать что	4	2
154	не в	3	2
155	живых существ	2	2
156	и все	6	2
157	так чтобы	2	2
158	и это	4	2
159	из этого	2	2
160	в виду	7	2
