N	2gram	Vinokur_Vv_1	EvropaiE
1	и в	27	37
2	в отношении	2	32
3	точки зрения	7	23
4	что в	11	21
5	не только	21	18
6	с точки	2	17
7	в то	5	16
8	хотя бы	5	15
9	то же	8	15
10	отношении к	2	15
11	в своем	3	14
12	в качестве	7	14
13	же время	5	14
14	но и	5	14
15	и не	13	14
16	но в	10	14
17	в этом	34	12
18	в их	11	11
19	в том	31	11
20	в области	4	11
21	прежде всего	8	9
22	все более	3	9
23	не может	13	9
24	т е	38	9
25	в себе	4	9
26	только в	13	9
27	так же	3	9
28	к тому	4	8
29	в ее	11	8
30	одной стороны	4	8
31	было бы	5	8
32	в своей	4	8
33	с одной	4	8
34	между тем	8	8
35	как и	5	7
36	по своему	5	7
37	того что	12	7
38	а также	3	7
39	с другой	8	7
40	также и	16	7
41	так как	13	7
42	эти области	4	6
43	с этой	4	6
44	вовсе не	6	6
45	том что	26	6
46	стороны и	3	6
47	может быть	24	6
48	для того	21	6
49	как бы	5	6
50	то что	17	6
51	во всех	2	6
52	того чтобы	21	6
53	и даже	5	6
54	и на	3	6
55	же как	3	5
56	в частности	3	5
57	не в	8	5
58	но не	7	5
59	одной из	3	5
60	но если	3	5
61	со стороны	12	5
62	как мы	9	5
63	в той	7	5
64	в течение	5	5
65	от этого	5	5
66	в виде	4	5
67	независимо от	3	4
68	как совокупность	2	4
69	именно в	8	4
70	вопрос о	8	4
71	можно сказать	3	4
72	чем в	3	4
73	само по	3	4
74	несмотря на	2	4
75	в самом	12	4
76	из числа	2	4
77	в ней	3	4
78	по себе	9	4
79	мы не	2	4
80	не имеет	4	4
81	культуры в	5	4
82	сказать что	5	4
83	тем более	2	4
84	культурной жизни	2	4
85	как это	5	4
86	по признаку	2	3
87	этом отношении	3	3
88	с тем	6	3
89	уже и	7	3
90	никогда не	3	3
91	в них	4	3
92	вообще не	3	3
93	этом смысле	11	3
94	в общем	12	3
95	в известной	3	3
96	мы видели	2	3
97	представляет собой	12	3
98	применении к	6	3
99	мы можем	2	3
100	того же	3	3
101	в прошлом	2	3
102	в известном	3	3
103	известном смысле	3	3
104	из них	3	3
105	всяком случае	3	3
106	и тем	5	3
107	что и	3	3
108	говорит о	3	3
109	во второй	3	3
110	время в	2	3
111	бы и	2	3
112	и для	4	3
113	как на	11	3
114	можно было	7	3
115	в которых	6	3
116	в результате	3	3
117	потому что	14	3
118	во всяком	3	3
119	тем что	6	3
120	в применении	6	3
121	в данном	11	3
122	народов и	2	3
123	о том	15	3
124	дело в	3	3
125	данного народа	2	3
126	он сам	3	2
127	не могут	5	2
128	течением времени	6	2
129	а не	3	2
130	в этих	3	2
131	сравнению с	3	2
132	в какой	4	2
133	по сравнению	3	2
134	во втором	2	2
135	с этим	2	2
136	в одном	4	2
137	но также	14	2
138	к нему	2	2
139	чем больше	2	2
140	большей части	2	2
141	из того	2	2
142	есть не	3	2
143	не нужно	2	2
144	и того	2	2
145	и как	9	2
146	в силу	3	2
147	отношений между	3	2
148	что если	2	2
149	но как	2	2
150	между ними	2	2
151	должна быть	2	2
152	всего к	2	2
153	что это	3	2
154	не говоря	2	2
155	не к	2	2
156	человеческой культуры	2	2
157	в его	10	2
158	мог бы	2	2
159	с течением	6	2
160	в котором	4	2
161	в известных	2	2
162	какой бы	2	2
163	говоря уже	2	2
164	не есть	4	2
165	при помощи	2	2
166	ее от	2	2
167	жизни и	2	2
168	наряду с	2	2
169	вместе с	6	2
170	данном случае	5	2
171	на основании	5	2
172	второй половине	2	2
173	что же	3	2
174	которого мы	2	2
175	а в	5	2
176	таким образом	19	2
177	если бы	2	2
178	и других	3	2
179	но с	4	2
180	культуры не	3	2
181	а именно	6	2
182	и сейчас	2	2
183	заключается в	4	2
184	и что	4	2
185	в значительной	2	2
186	на этот	4	2
187	другой стороны	5	2
188	духовной жизни	3	2
189	этот процесс	3	2
190	в своих	2	2
191	этот вопрос	4	2
192	и с	2	2
193	хотя и	3	2
194	могут быть	4	2
195	в этой	3	2
196	и то	5	2
197	в истории	9	2
198	как будто	3	2
199	культуры как	6	2
200	как оно	3	2
201	которое в	2	2
202	тогда когда	3	2
203	проблемы и	2	2
204	и творчества	2	2
