N	2gram	Propp_Russ_1	FransuaR
1	и в	36	45
2	то есть	3	25
3	и не	6	15
4	не только	22	14
5	в этом	12	14
6	но в	2	14
7	в его	2	13
8	во всех	4	13
9	как бы	5	12
10	во время	14	12
11	что в	19	12
12	в своем	3	11
13	то же	3	11
14	в том	17	10
15	в нем	2	10
16	но и	16	10
17	как и	10	10
18	и с	2	10
19	как мы	10	8
20	в ней	2	8
21	и др	4	8
22	таким образом	6	8
23	так же	3	8
24	он был	2	7
25	том что	19	7
26	что и	7	7
27	все это	6	7
28	потому что	10	7
29	всех этих	2	6
30	так и	7	6
31	связи с	4	6
32	так как	15	6
33	в них	6	6
34	с ним	2	5
35	и к	3	5
36	мы видим	2	5
37	но это	4	5
38	на этом	3	5
39	этого праздника	3	5
40	например в	2	5
41	хотя и	2	5
42	и их	4	5
43	не может	4	5
44	в связи	4	5
45	все эти	2	5
46	на самом	2	5
47	и у	5	5
48	и как	2	5
49	и на	10	5
50	об этом	9	4
51	мы не	6	4
52	у него	2	4
53	и здесь	2	4
54	его как	2	4
55	такой же	2	4
56	но не	2	4
57	ничего не	3	4
58	своего рода	3	4
59	а также	3	4
60	в их	4	4
61	а не	2	4
62	а в	9	4
63	в доме	2	4
64	с этим	2	4
65	точки зрения	3	4
66	только в	4	4
67	о том	8	4
68	связаны с	3	4
69	как это	8	4
70	не менее	3	3
71	и другие	13	3
72	как в	5	3
73	это не	10	3
74	но они	3	3
75	из этих	4	3
76	в одном	3	3
77	что на	4	3
78	по существу	4	3
79	связанные с	3	3
80	как они	2	3
81	вместе с	10	3
82	но она	2	3
83	что она	2	3
84	не было	2	3
85	в течение	5	3
86	в году	2	3
87	того что	4	3
88	на этот	3	3
89	не имеет	6	3
90	и для	2	3
91	в праздник	3	3
92	в которых	5	3
93	как он	2	3
94	там где	2	3
95	на весь	2	3
96	о чем	3	3
97	только для	2	2
98	и связанные	2	2
99	с тем	8	2
100	независимо от	2	2
101	священной истории	3	2
102	себя и	2	2
103	тут же	2	2
104	эти дни	4	2
105	на все	2	2
106	к этому	4	2
107	значение и	2	2
108	к тому	4	2
109	и нового	2	2
110	в г	4	2
111	то что	6	2
112	они и	2	2
113	в качестве	3	2
114	в большинстве	2	2
115	так например	6	2
116	для них	3	2
117	что это	3	2
118	несмотря на	3	2
119	к ней	2	2
120	может быть	8	2
121	народного творчества	2	2
122	вплоть до	4	2
123	с праздником	2	2
124	том же	2	2
125	это время	2	2
126	еще в	4	2
127	в этот	10	2
128	в эти	4	2
129	если в	3	2
130	один из	8	2
131	в каждом	2	2
132	все же	5	2
133	в целом	2	2
134	когда он	2	2
135	не будем	3	2
136	и до	2	2
137	в различных	2	2
138	в свете	2	2
139	так в	4	2
140	в особенности	2	2
141	начиная с	3	2
142	при этом	6	2
143	всякого рода	3	2
144	можно говорить	2	2
145	и что	4	2
146	с точки	3	2
147	за все	2	2
148	между тем	7	2
149	мы можем	2	2
150	одно из	5	2
151	большинстве случаев	2	2
