N	2gram	Voloshinov_1	RusskieA
1	и в	12	29
2	что в	2	22
3	том что	5	22
4	в том	6	22
5	как бы	13	18
6	и другие	2	14
7	может быть	14	13
8	так как	9	13
9	как и	5	11
10	в этом	4	11
11	все это	3	10
12	и с	3	10
13	не только	4	10
14	о том	3	9
15	в некоторых	3	9
16	но и	3	8
17	его в	4	8
18	данном случае	2	7
19	как в	5	7
20	мы не	3	6
21	еще не	3	6
22	для нас	7	6
23	вместе с	2	6
24	таким образом	12	6
25	при этом	6	6
26	и на	4	6
27	в данном	2	6
28	мы имеем	2	6
29	это не	2	5
30	к этому	2	5
31	то что	5	5
32	и что	2	5
33	но не	2	5
34	не может	16	5
35	но в	5	5
36	в них	3	4
37	и все	2	4
38	тогда когда	2	4
39	уже не	4	4
40	не в	4	4
41	к нему	4	4
42	так же	3	4
43	то же	5	4
44	а не	5	4
45	как это	2	4
46	в этих	2	3
47	она не	2	3
48	до конца	2	3
49	того что	3	3
50	в котором	3	3
51	с другими	2	3
52	связь с	2	3
53	все эти	3	3
54	и по	3	3
55	между тем	3	3
56	не менее	3	2
57	с этой	2	2
58	могут быть	2	2
59	никогда не	5	2
60	между собой	2	2
61	с другой	4	2
62	ее и	3	2
63	прежде всего	8	2
64	как уже	2	2
65	что и	2	2
66	кроме того	2	2
67	одной стороны	2	2
68	и пр	3	2
69	тем не	3	2
70	из этого	3	2
71	в виду	5	2
72	все же	4	2
73	в своей	3	2
74	не к	3	2
75	в форме	2	2
76	влияние на	2	2
77	с одной	2	2
78	на самом	4	2
79	там где	2	2
80	и для	3	2
81	а к	2	2
82	быть только	2	2
83	и то	2	2
84	в момент	2	2
85	и ее	3	2
86	в то	2	2
