N	3gram	Voloshinov_1	Psycholo
1	в том что	3	17
2	для того чтобы	3	13
3	в самом деле	9	11
4	с точки зрения	20	10
5	не может быть	13	8
6	то же самое	3	6
7	в этом отношении	3	5
8	до сих пор	8	5
9	так же как	2	4
10	и той же	2	4
11	можно было бы	2	4
12	одной и той	2	4
13	тем не менее	2	4
14	в отношении к	4	3
15	в конце концов	3	3
16	в свою очередь	2	2
17	и не может	9	2
18	то же время	3	2
19	и те же	5	2
20	бы то ни	8	2
21	во всяком случае	2	2
22	в то же	3	2
23	на этот вопрос	3	2
24	одни и те	5	2
25	с другой стороны	5	2
