N	2gram	Berdyaev_N_1	Mirosoze
1	и в	16	46
2	в нем	5	22
3	у него	2	22
4	может быть	7	21
5	в этом	7	20
6	никогда не	6	18
7	и не	11	18
8	не только	5	18
9	есть лишь	4	17
10	во имя	15	16
11	но и	3	15
12	не может	16	15
13	как и	7	13
14	не есть	3	13
15	а не	17	13
16	прежде всего	4	12
17	потому что	4	12
18	не было	4	11
19	в ней	5	11
20	но в	2	10
21	он не	8	10
22	в себе	2	10
23	не в	6	9
24	не знает	6	9
25	и есть	10	8
26	но это	6	8
27	если нет	2	8
28	она не	3	8
29	связана с	2	7
30	человека и	3	7
31	в мире	3	7
32	и к	5	7
33	и потому	4	7
34	как в	3	7
35	хотя бы	2	7
36	и для	4	7
37	вопрос о	3	6
38	так же	2	6
39	революции и	3	6
40	жизни и	8	6
41	я не	2	5
42	что все	2	5
43	совсем не	12	5
44	что она	2	5
45	это не	4	5
46	и все	4	5
47	в духе	3	5
48	к революции	2	5
49	бога и	3	5
50	к тому	3	5
51	то что	4	5
52	в своей	3	5
53	и это	2	5
54	что в	9	4
55	для этого	2	4
56	свободы и	2	4
57	не имеет	4	4
58	в русском	2	4
59	с его	6	4
60	в жизни	5	4
61	думать что	2	4
62	том что	2	4
63	должен быть	5	4
64	себя в	2	4
65	так и	2	4
66	уже не	2	4
67	того чтобы	2	4
68	же как	2	3
69	и от	2	3
70	не знал	2	3
71	в судьбах	2	3
72	ни в	6	3
73	в том	8	3
74	высшей степени	6	3
75	смысле слова	3	3
76	каждого человека	2	3
77	для чего	2	3
78	жизни в	3	3
79	духа и	3	3
80	и на	2	3
81	сказать что	3	3
82	и с	2	3
83	о том	4	3
84	в высшей	6	3
85	в россии	3	3
86	и должно	2	3
87	не существует	3	3
88	в них	4	3
89	это и	2	3
90	русской революции	2	3
91	не будет	7	3
92	есть в	2	3
93	жизни не	3	2
94	место в	2	2
95	мир и	2	2
96	быть может	4	2
97	из глубины	2	2
98	все время	2	2
99	это есть	7	2
100	такого рода	2	2
101	но для	2	2
102	хотя и	2	2
103	не к	2	2
104	но она	2	2
105	не имеют	2	2
106	она порождает	2	2
107	лишь в	6	2
108	должно быть	4	2
109	а в	2	2
110	в основе	3	2
111	не будут	2	2
112	на гибель	2	2
113	к богу	2	2
114	не означает	3	2
115	и что	2	2
116	во всех	3	2
117	нем нет	2	2
118	вместе с	2	2
119	в центре	2	2
120	и социализм	2	2
121	вот почему	2	2
122	можно было	2	2
123	тому как	3	2
124	подобно тому	3	2
125	может уже	2	2
126	духа в	2	2
127	как будто	2	2
128	разлагается и	3	2
