N	2gram	Tiupa_Anal_3	Mirosoze
1	может быть	9	30
2	не только	22	29
3	и в	18	28
4	не может	2	28
5	но и	13	25
6	а не	9	25
7	он не	6	24
8	в этом	14	20
9	не было	3	18
10	не в	6	16
11	в ней	2	15
12	никогда не	5	14
13	в нем	2	13
14	и он	2	12
15	для него	6	11
16	в самом	5	11
17	и не	12	11
18	что в	9	10
19	в своем	4	10
20	в мире	5	10
21	прежде всего	5	10
22	и все	2	10
23	что он	4	10
24	было бы	3	10
25	и потому	2	10
26	с тем	2	9
27	в его	7	9
28	не есть	4	9
29	и его	13	9
30	но не	7	8
31	в глубине	2	8
32	в конце	5	7
33	но в	2	7
34	любви к	2	7
35	в себе	2	7
36	в том	9	6
37	в этой	6	6
38	все это	3	6
39	лишь в	5	6
40	и на	4	6
41	вместе с	2	6
42	только в	2	6
43	это не	2	5
44	мира и	2	5
45	как и	14	5
46	то что	2	5
47	уже в	3	4
48	в их	6	4
49	отношения к	2	4
50	и по	2	4
51	а в	10	4
52	точки зрения	3	4
53	в них	2	4
54	не как	2	4
55	один из	2	4
56	это и	2	4
57	что и	5	4
58	есть не	2	4
59	уже не	5	4
60	на пути	2	4
61	тем что	2	4
62	о себе	2	3
63	и вот	2	3
64	к тому	6	3
65	не мог	2	3
66	его не	3	3
67	в момент	2	3
68	с этим	3	3
69	его в	3	3
70	то есть	10	3
71	с его	8	3
72	в жизни	2	3
73	в ее	3	3
74	том что	12	3
75	ничего не	3	3
76	в иной	2	3
77	себя в	4	3
78	когда он	2	3
79	бы и	2	3
80	по своему	2	2
81	и от	2	2
82	его как	3	2
83	с новыми	3	2
84	с их	3	2
85	с самим	2	2
86	о своей	2	2
87	в свою	5	2
88	о чем	4	2
89	этом он	2	2
90	могут быть	2	2
91	по отношению	7	2
92	все эти	2	2
93	сказать что	2	2
94	он и	3	2
95	в начале	6	2
96	по своей	2	2
97	как бы	10	2
98	о том	6	2
99	когда мы	2	2
100	добрый и	2	2
101	личности в	3	2
102	к этому	3	2
103	отношению к	7	2
104	в то	3	2
105	и к	4	2
106	о своих	2	2
107	все же	4	2
108	как в	3	2
109	приводит к	4	2
110	входит в	2	2
111	в той	2	2
112	и как	4	2
113	и для	2	2
114	от его	2	2
