N	3gram	Bakhtin_Pr_1	Marksizm
1	с точки зрения	6	13
2	не может быть	11	10
3	то же время	3	8
4	в то же	3	8
5	по отношению к	19	8
6	в том что	3	6
7	для того чтобы	2	6
8	в самом деле	3	5
9	в большинстве случаев	5	5
10	то же самое	2	5
11	той или иной	2	4
12	то ни было	2	4
13	бы то ни	3	4
14	на самом деле	3	4
15	с одной стороны	3	3
16	в отличие от	5	3
17	и не может	2	3
18	в высшей степени	5	3
19	точки зрения самого	2	2
20	лишь там где	2	2
21	ни в коем	2	2
22	того или иного	2	2
23	в противном случае	3	2
24	мы можем сказать	2	2
25	и прежде всего	5	2
26	но и в	2	2
27	в коем случае	2	2
