N	2gram	Berdyaev_M_1	Vladivir
1	и в	28	31
2	не только	29	24
3	но и	25	19
4	то что	5	18
5	и не	11	17
6	у него	17	15
7	он был	14	14
8	том что	3	14
9	что в	10	14
10	в этом	20	14
11	и с	3	14
12	что он	10	12
13	в его	9	12
14	но в	7	12
15	с его	3	11
16	в том	6	11
17	потому что	16	11
18	о том	2	11
19	также и	2	10
20	он не	24	10
21	никогда не	14	9
22	а в	4	9
23	даже и	2	9
24	только в	6	9
25	в конце	7	9
26	и по	4	8
27	в то	2	8
28	так как	3	8
29	уже в	4	7
30	для него	11	7
31	о нем	2	7
32	и его	9	7
33	сказать что	2	7
34	он и	2	6
35	к этому	2	6
36	и к	2	6
37	у нас	5	6
38	и потому	10	6
39	может быть	30	6
40	в котором	8	6
41	не может	28	6
42	и что	2	6
43	на этот	2	6
44	разного рода	2	6
45	не был	7	5
46	все это	6	5
47	не в	16	5
48	и от	2	5
49	что и	4	5
50	жизни и	2	5
51	когда он	3	5
52	не было	18	5
53	но он	9	5
54	с ним	2	5
55	в своем	10	4
56	и все	10	4
57	в нем	13	4
58	для нас	3	4
59	к ней	4	4
60	в себе	7	4
61	как и	5	4
62	и как	2	4
63	в этой	6	4
64	по своей	2	4
65	он уже	6	4
66	еще в	2	4
67	один из	4	4
68	себя в	3	4
69	в своей	15	4
70	ни с	4	4
71	в истории	2	4
72	в этот	2	4
73	мысли и	2	4
74	и у	2	4
75	как он	2	4
76	в россии	2	4
77	к нему	7	4
78	в которой	6	4
79	мы увидим	3	3
80	к тому	3	3
81	в жизни	3	3
82	как в	2	3
83	но не	8	3
84	по своему	2	3
85	него не	2	3
86	всю жизнь	4	3
87	ничего не	3	3
88	за пределы	4	3
89	конце концов	2	3
90	все же	2	3
91	отношение к	4	3
92	вместе с	6	3
93	был в	4	3
94	человека как	2	3
95	все эти	2	3
96	и вот	3	3
97	не мог	3	3
98	уже не	4	3
99	и он	12	3
100	и на	6	3
101	он в	2	3
102	в начале	2	3
103	то есть	3	3
104	в момент	3	2
105	место в	2	2
106	тем что	4	2
107	он сам	6	2
108	с тем	9	2
109	нет и	5	2
110	от нее	5	2
111	в них	4	2
112	хотя бы	3	2
113	к концу	4	2
114	и я	5	2
115	был очень	2	2
116	это и	4	2
117	от него	4	2
118	на этом	3	2
119	учение о	3	2
120	все что	2	2
121	то время	2	2
122	того что	7	2
123	было бы	10	2
124	и мы	2	2
125	в самом	11	2
126	конечно не	3	2
127	одним из	2	2
128	которую он	2	2
129	в свой	2	2
130	толстой и	3	2
131	который был	2	2
132	которых он	4	2
133	и для	2	2
134	лишь в	6	2
135	того чтобы	2	2
136	для того	2	2
137	не стал	2	2
138	с того	2	2
139	был не	2	2
140	философии но	2	2
141	к этой	2	2
142	точки зрения	4	2
143	в каком	2	2
144	вера в	3	2
145	и еще	3	2
146	и это	12	2
147	был человек	2	2
148	бога и	10	2
