N	2gram	Savitsky_E_1	Problema
1	то есть	6	46
2	в его	2	43
3	и не	14	42
4	и в	37	38
5	не может	9	27
6	может быть	6	26
7	как бы	6	22
8	отнюдь не	9	19
9	и с	2	17
10	в этом	12	15
11	независимо от	4	13
12	прежде всего	9	13
13	только в	9	13
14	но не	5	12
15	во всех	6	11
16	и для	3	11
17	в области	11	11
18	к нему	2	10
19	в их	11	10
20	таким образом	2	10
21	но и	14	9
22	не имеет	4	9
23	не только	18	9
24	место в	3	8
25	в том	11	8
26	и как	2	8
27	точки зрения	23	8
28	было бы	8	8
29	то что	6	8
30	что в	21	7
31	с другой	7	7
32	вообще не	3	7
33	не в	5	7
34	в самом	4	7
35	между тем	8	7
36	отметить что	3	7
37	как и	7	7
38	в своей	8	7
39	как мы	5	7
40	в пределах	25	6
41	не к	2	6
42	и наконец	2	6
43	а в	2	6
44	на основе	2	6
45	человеческой культуры	2	6
46	не есть	2	6
47	с точки	17	6
48	мы можем	3	6
49	там где	3	6
50	то же	15	5
51	в своем	14	5
52	имеет место	2	5
53	никогда не	3	5
54	далеко не	2	5
55	в них	3	5
56	не нужно	2	5
57	в большинстве	2	5
58	так и	10	5
59	и прежде	3	5
60	не на	4	5
61	большинстве случаев	3	5
62	а не	2	5
63	могут быть	2	5
64	должна быть	2	4
65	в ней	4	4
66	известной степени	3	4
67	другой стороны	2	4
68	данном случае	2	4
69	и только	3	4
70	в других	2	4
71	сказать что	4	4
72	в то	16	4
73	о том	3	4
74	и потому	5	4
75	но в	14	4
76	в ее	8	4
77	как в	3	4
78	тем самым	5	4
79	между ними	2	4
80	хотя бы	15	4
81	можно было	3	4
82	в данном	3	4
83	в себе	9	4
84	культурного творчества	2	3
85	то ни	4	3
86	и от	3	3
87	в известной	3	3
88	же время	14	3
89	одной стороны	8	3
90	несмотря на	4	3
91	хотя и	2	3
92	не является	3	3
93	точка зрения	2	3
94	и тем	3	3
95	с одной	8	3
96	на них	2	3
97	которую мы	5	3
98	применении к	3	3
99	и даже	6	3
100	и на	6	3
101	в применении	3	3
102	также и	7	3
103	ни было	4	3
104	если бы	2	3
105	и все	2	3
106	этом смысле	3	3
107	и к	3	3
108	том что	6	3
109	бы то	4	3
110	одной из	5	3
111	он не	2	3
112	помнить что	2	3
113	но с	2	3
114	культуры и	2	3
115	в мире	2	3
116	в таком	3	3
117	с другими	2	3
118	чем в	4	2
119	не могут	2	2
120	в частности	5	2
121	в этих	2	2
122	в какой	2	2
123	столь же	5	2
124	что все	2	2
125	для понимания	2	2
126	на то	6	2
127	или иной	4	2
128	от них	3	2
129	можно сказать	4	2
130	в значительной	2	2
131	не можем	2	2
132	не более	3	2
133	в свою	3	2
134	не дает	3	2
135	что это	2	2
136	дело идет	2	2
137	той или	4	2
138	в котором	2	2
139	в культуре	3	2
140	этом отношении	3	2
141	и других	2	2
142	и что	2	2
143	того что	7	2
144	в своих	2	2
145	но как	2	2
146	в истории	2	2
147	мы должны	2	2
148	того или	4	2
149	в россии	5	2
150	можем сказать	2	2
151	как это	4	2
152	и более	2	2
153	себе не	3	2
154	и во	2	2
155	вовсе не	6	2
156	или иного	4	2
157	есть не	2	2
158	последние годы	3	2
159	она не	2	2
160	в некоторых	2	2
161	что и	3	2
162	техника в	2	2
163	того чтобы	6	2
164	для того	6	2
165	и эта	2	2
166	или в	2	2
167	тем что	3	2
168	в виде	5	2
169	или точнее	2	2
170	дело в	3	2
