N	2gram	Berdyaev_V_1	Otkroven
1	и в	16	19
2	но и	5	13
3	и не	20	13
4	в этом	4	12
5	а не	7	11
6	не в	3	11
7	не только	2	11
8	человека и	6	10
9	и все	4	10
10	в нем	4	10
11	никогда не	3	9
12	не было	3	9
13	потому что	4	9
14	прежде всего	2	9
15	великий инквизитор	31	8
16	лишь в	3	7
17	от него	2	7
18	ивана карамазова	2	7
19	нет ничего	3	7
20	в его	4	7
21	о великом	4	6
22	великом инквизиторе	5	6
23	все это	5	6
24	как и	4	6
25	то что	9	5
26	а в	2	5
27	в том	3	5
28	для него	2	5
29	с его	3	4
30	на земле	7	4
31	того чтобы	2	4
32	что не	4	4
33	все эти	3	4
34	что в	3	4
35	не могут	2	3
36	свободной любви	6	3
37	нем нет	2	3
38	в этих	3	3
39	и есть	4	3
40	это не	2	3
41	сделать людей	4	3
42	что он	4	3
43	жизни все	2	3
44	того что	5	3
45	хотя бы	3	3
46	еще не	8	3
47	могут быть	2	3
48	все что	4	3
49	во имя	32	3
50	с ним	2	3
51	как бы	5	3
52	любовь к	3	2
53	инквизитор говорит	3	2
54	что и	3	2
55	не есть	6	2
56	ее в	2	2
57	и для	3	2
58	поступил как	2	2
59	с тем	2	2
60	в истории	8	2
61	всего в	2	2
62	так и	4	2
63	жаждал свободной	2	2
64	для человека	2	2
65	что есть	5	2
66	те которые	2	2
67	что все	4	2
68	ничего и	2	2
69	свободы и	12	2
70	и никогда	2	2
71	не имеет	3	2
72	должно быть	3	2
73	его не	2	2
74	том что	2	2
75	человеческого благополучия	3	2
76	и то	2	2
77	что они	7	2
78	они испугались	2	2
79	тем что	2	2
80	людей счастливыми	2	2
81	личности и	3	2
82	и против	3	2
83	с богом	4	2
84	этого мира	3	2
85	выше всего	2	2
86	вместо того	2	2
87	в своей	3	2
88	так как	9	2
89	тогда уже	2	2
90	не могли	2	2
91	легенда о	2	2
92	хотя и	5	2
93	но в	3	2
94	и потому	7	2
