N	3gram	Bakhtin_Pr_1	Problemy
1	с точки зрения	6	13
2	в этом смысле	3	10
3	в то же	3	9
4	то же время	3	9
5	по отношению к	19	8
6	в его целом	5	6
7	в том что	3	6
8	между тем как	5	4
9	не может быть	11	4
10	на самом деле	3	4
11	все то что	3	3
12	и т п	13	3
13	с другой стороны	4	3
14	в этом отношении	2	3
15	не входит в	4	3
16	в лучшем случае	2	2
17	лишь там где	2	2
18	в данном случае	4	2
19	в самом деле	3	2
20	не только в	2	2
21	в большинстве случаев	5	2
22	и не может	2	2
23	можно было бы	3	2
24	бы то ни	3	2
25	к нему и	2	2
26	и в то	2	2
