N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	23	56
2	то есть	24	24
3	в романе	11	21
4	в его	24	18
5	таким образом	11	17
6	все эти	8	15
7	в этом	25	14
8	в том	11	13
9	так и	10	13
10	и его	13	12
11	в то	10	12
12	в этих	2	11
13	до конца	5	11
14	как бы	28	11
15	и т.п	3	11
16	в них	3	11
17	то же	10	11
18	же время	7	10
19	еще не	5	10
20	мы уже	2	10
21	только в	8	9
22	в самом	8	9
23	но и	11	9
24	и не	34	9
25	том что	9	8
26	в сущности	5	8
27	не только	13	8
28	в нем	20	8
29	во всех	5	8
30	сих пор	2	8
31	и их	2	8
32	все это	7	8
33	и даже	3	8
34	до сих	2	8
35	и с	4	8
36	у него	6	7
37	в большинстве	2	7
38	как мы	5	7
39	и на	10	7
40	прежде всего	7	6
41	вовсе не	8	6
42	мы видим	3	6
43	в этой	4	6
44	своего времени	2	6
45	в той	6	6
46	той же	6	6
47	потому что	12	6
48	на его	2	6
49	точки зрения	21	6
50	и все	3	6
51	большинстве случаев	2	6
52	но в	4	6
53	но не	8	5
54	с его	6	5
55	никогда не	5	5
56	в отношении	2	5
57	в пределах	9	5
58	в условиях	2	5
59	с ее	2	5
60	как и	8	5
61	и другие	2	5
62	одним из	8	5
63	он не	4	5
64	один из	2	5
65	последнее слово	9	5
66	в процессе	4	5
67	что в	8	5
68	не было	3	5
69	в творчестве	5	5
70	роль в	2	5
71	в результате	4	5
72	они не	3	5
73	так сказать	3	5
74	в области	3	5
75	что все	3	4
76	в духе	3	4
77	в себе	5	4
78	например в	3	4
79	и к	4	4
80	за пределы	6	4
81	наконец в	2	4
82	и потому	3	4
83	даже в	2	4
84	в совершенно	2	4
85	при этом	3	4
86	и других	5	4
87	того чтобы	4	4
88	в свете	3	4
89	в основе	5	4
90	в изображении	2	4
91	в своих	2	4
92	их в	2	4
93	о том	2	4
94	так как	7	4
95	одна из	2	4
96	в которой	4	4
97	в едином	4	3
98	перед нами	4	3
99	со всею	3	3
100	всех этих	3	3
101	в своем	8	3
102	и был	3	3
103	как например	2	3
104	в литературе	3	3
105	и здесь	3	3
106	его творчество	4	3
107	более того	3	3
108	кроме того	3	3
109	в первой	2	3
110	может быть	21	3
111	и о	3	3
112	был бы	5	3
113	что и	5	3
114	то что	18	3
115	в форме	6	3
116	в их	3	3
117	не на	3	3
118	что для	2	3
119	там где	6	3
120	здесь мы	2	3
121	уже не	8	3
122	и наконец	5	3
123	не в	6	3
124	рядом с	13	3
125	здесь с	3	3
126	конечно и	4	3
127	сказать что	5	3
128	между тем	5	3
129	но он	2	3
130	во все	3	3
131	его к	4	3
132	бы в	3	3
133	если бы	10	2
134	о себе	9	2
135	друг другу	2	2
136	этих условиях	2	2
137	на котором	2	2
138	с другой	2	2
139	это не	10	2
140	на языке	2	2
141	уже в	5	2
142	не как	12	2
143	и во	2	2
144	как целое	2	2
145	в одном	9	2
146	на самом	4	2
147	это в	2	2
148	к этому	2	2
149	для понимания	3	2
150	что он	10	2
151	бы и	4	2
152	можно сказать	2	2
153	точек зрения	3	2
154	ни было	4	2
155	ни в	3	2
156	и как	8	2
157	но это	5	2
158	то время	2	2
159	для него	15	2
160	с их	5	2
161	было бы	6	2
162	и сам	2	2
163	из них	2	2
164	несмотря на	6	2
165	себе и	3	2
166	мире в	3	2
167	а в	7	2
168	по преимуществу	3	2
169	между ними	2	2
170	в котором	2	2
171	точка зрения	7	2
172	его творчестве	2	2
173	все же	5	2
174	в своей	11	2
175	в мире	7	2
176	благодаря этому	2	2
177	его как	5	2
178	вместе с	2	2
179	самом деле	5	2
180	ни одного	2	2
181	данном случае	2	2
182	что она	2	2
183	романа в	4	2
184	которые были	3	2
185	другой стороны	2	2
186	во всей	2	2
187	так же	6	2
188	как раз	4	2
189	не может	11	2
190	то ни	3	2
191	и построения	3	2
192	а не	20	2
193	весь этот	2	2
194	для того	2	2
195	из которых	2	2
196	к нему	3	2
197	и для	3	2
198	с точки	15	2
199	его в	4	2
200	бы то	3	2
201	мы не	2	2
202	в данном	2	2
203	в которых	2	2
204	на мир	8	2
205	он и	5	2
206	мир и	6	2
207	для своего	2	2
208	зрения на	8	2
209	мира и	7	2
210	он создал	2	2
211	с ним	6	2
212	не потому	2	2
213	это очень	3	2
214	не могли	2	2
215	нет ни	2	2
216	он говорит	2	2
