N	2gram	Medvedev_F_1	Poddanst
1	не только	7	17
2	и в	24	14
3	и не	20	12
4	в области	3	11
5	в отношении	3	10
6	в этом	15	10
7	то же	10	9
8	в том	6	9
9	но в	5	9
10	хотя бы	5	8
11	в пределах	6	8
12	же время	8	7
13	в то	9	7
14	только в	2	7
15	но и	7	6
16	в ней	10	6
17	было бы	6	6
18	а н	3	5
19	с другой	5	5
20	не в	8	5
21	и пр	17	5
22	отношении к	2	5
23	может быть	14	5
24	же в	3	4
25	то что	8	4
26	что в	4	4
27	если бы	4	4
28	в своем	11	4
29	не может	16	4
30	по себе	5	4
31	и к	4	4
32	а в	6	4
33	и если	2	4
34	как бы	6	4
35	и потому	9	4
36	сами по	2	3
37	в нем	14	3
38	и т	12	3
39	с тем	2	3
40	в россии	3	3
41	она есть	2	3
42	это не	2	3
43	с одной	4	3
44	т е	34	3
45	прежде всего	22	3
46	тем самым	3	3
47	с точки	13	3
48	сводится к	3	3
49	мы не	3	3
50	и как	3	3
51	между тем	2	3
52	но не	3	3
53	точки зрения	16	3
54	в себе	3	3
55	одной стороны	4	3
56	не менее	11	2
57	в мире	4	2
58	начала и	2	2
59	именно в	8	2
60	во всех	5	2
61	в частности	4	2
62	время в	3	2
63	отнюдь не	6	2
64	со стороны	5	2
65	в них	3	2
66	все это	9	2
67	во всей	2	2
68	как раз	2	2
69	отношения к	6	2
70	с этим	2	2
71	может и	2	2
72	в жизни	3	2
73	именно как	12	2
74	главным образом	4	2
75	думать что	3	2
76	и других	3	2
77	и вот	2	2
78	стороны и	4	2
79	а не	10	2
80	бы ни	5	2
81	того что	5	2
82	должно быть	11	2
83	в ее	8	2
84	как на	4	2
85	одна из	2	2
86	из важнейших	2	2
87	образом на	2	2
88	не было	3	2
89	в общем	3	2
90	и это	2	2
91	в ряду	2	2
92	не о	3	2
93	в эту	2	2
94	в его	23	2
95	и с	8	2
