N	2gram	Bakhtin_Pr_1	RusskieA
1	и в	38	29
2	что в	7	22
3	том что	3	22
4	в том	8	22
5	как бы	22	18
6	в других	4	15
7	и другие	2	14
8	может быть	26	13
9	как и	7	11
10	одна из	2	11
11	в этом	15	11
12	все это	3	10
13	и с	17	10
14	не только	9	10
15	о том	4	9
16	в некоторых	2	9
17	а в	6	9
18	но и	9	8
19	его в	9	8
20	данном случае	4	7
21	как в	4	7
22	или в	2	7
23	еще не	7	6
24	для того	2	6
25	таким образом	10	6
26	при этом	5	6
27	того чтобы	2	6
28	и на	3	6
29	в данном	4	6
30	мы имеем	2	6
31	это не	5	5
32	к этому	2	5
33	то что	8	5
34	и что	2	5
35	но не	12	5
36	и т	14	5
37	не может	27	5
38	но в	4	5
39	в них	5	4
40	и все	3	4
41	не все	2	4
42	по существу	2	4
43	не в	7	4
44	к нему	10	4
45	том же	2	4
46	то же	5	4
47	у нас	2	4
48	на них	3	4
49	а не	5	4
50	в таком	3	4
51	в виде	2	4
52	далеко не	5	4
53	как это	2	4
54	на этом	2	3
55	тем что	2	3
56	в этих	2	3
57	и других	2	3
58	и от	3	3
59	не всегда	6	3
60	на первый	2	3
61	в ее	4	3
62	связаны с	2	3
63	она не	2	3
64	того что	2	3
65	было бы	8	3
66	и о	5	3
67	в котором	2	3
68	с другими	3	3
69	не имеет	9	3
70	во всех	11	3
71	не будем	3	3
72	связь с	3	3
73	в отличие	5	3
74	все эти	5	3
75	как мы	7	3
76	между тем	7	3
77	в таких	2	3
78	что это	2	3
79	отличие от	5	3
80	не менее	4	2
81	связи с	2	2
82	могут быть	5	2
83	никогда не	5	2
84	с другой	7	2
85	иногда и	3	2
86	прежде всего	13	2
87	что и	2	2
88	кроме того	3	2
89	и как	8	2
90	и при	2	2
91	чем в	2	2
92	здесь в	2	2
93	одной стороны	3	2
94	только как	6	2
95	и пр	2	2
96	совершенно не	7	2
97	все то	3	2
98	тем не	3	2
99	в него	2	2
100	в виду	4	2
101	должен быть	2	2
102	но она	2	2
103	не с	4	2
104	все же	6	2
105	в своей	7	2
106	не к	6	2
107	природы и	3	2
108	в форме	4	2
109	в их	10	2
110	но можно	2	2
111	не было	2	2
112	с одной	3	2
113	на самом	4	2
114	там где	6	2
115	здесь мы	2	2
116	мы здесь	4	2
117	из которых	2	2
118	и для	11	2
119	должно быть	5	2
120	можно было	4	2
121	а к	2	2
122	быть только	5	2
123	в своих	2	2
124	а иногда	2	2
125	и ее	2	2
126	во всем	2	2
127	в то	4	2
128	не можем	2	2
