N	2gram	Berdyaev_M_1	Marksizm
1	точки зрения	4	34
2	может быть	30	26
3	и не	11	26
4	не может	28	24
5	и в	28	19
6	и его	9	19
7	в этом	20	16
8	как бы	2	15
9	прежде всего	10	13
10	как и	5	12
11	и для	2	11
12	в самом	11	10
13	в нем	13	10
14	для него	11	9
15	лишь в	6	9
16	только в	6	9
17	но и	25	8
18	до сих	2	8
19	не только	29	8
20	все же	2	8
21	то что	5	8
22	сих пор	2	8
23	все эти	2	7
24	и те	2	7
25	но в	7	7
26	в ее	3	7
27	а не	25	7
28	в том	6	6
29	– не	5	6
30	в его	9	6
31	ничего не	3	6
32	в конце	7	5
33	не в	16	5
34	до конца	14	5
35	конечно не	3	5
36	в начале	2	5
37	и потому	10	5
38	и все	10	5
39	к этому	2	5
40	за пределы	4	5
41	входит в	2	5
42	того чтобы	2	5
43	хотя бы	3	5
44	что в	10	4
45	вопрос о	2	4
46	в ней	15	4
47	это –	16	4
48	а в	4	4
49	и на	6	4
50	сказать что	2	4
51	жизни в	2	4
52	с этим	3	4
53	– говорит	3	4
54	было бы	10	4
55	нет и	5	4
56	как в	2	4
57	мысли и	2	4
58	для того	2	4
59	отношении к	2	4
60	место в	2	3
61	и есть	14	3
62	и от	2	3
63	а как	2	3
64	и как	2	3
65	высшей степени	2	3
66	момент в	2	3
67	он –	12	3
68	в котором	8	3
69	этот процесс	3	3
70	все это	6	3
71	по отношению	2	3
72	не было	18	3
73	конце концов	2	3
74	того что	7	3
75	не имеет	3	3
76	xix века	4	3
77	в то	2	3
78	его в	3	3
79	в высшей	2	3
80	нет ничего	7	3
81	не существует	2	3
82	не могут	5	3
83	в каком	2	3
84	различие между	2	3
85	и к	2	3
86	она может	2	3
87	том что	3	3
88	он не	24	3
89	не есть	9	3
90	в своей	15	3
91	в истории	2	3
92	– все	3	3
93	это и	4	3
94	на этот	2	3
95	к этим	2	3
96	и это	12	3
97	в которой	6	3
98	должна быть	6	2
99	никогда не	14	2
100	в своем	10	2
101	или к	4	2
102	все в	6	2
103	в свою	2	2
104	мог бы	4	2
105	он ни	2	2
106	одним из	2	2
107	но если	3	2
108	в виду	2	2
109	себе и	2	2
110	жизни и	2	2
111	и их	3	2
112	должно быть	3	2
113	с этой	4	2
114	о том	2	2
115	как он	2	2
116	так как	3	2
117	бы в	2	2
118	к этой	2	2
119	и с	3	2
120	от этого	2	2
121	в основе	2	2
122	для них	3	2
123	если бы	2	2
124	не как	4	2
125	и во	2	2
126	если он	5	2
127	что он	10	2
128	в себе	7	2
129	у нас	5	2
130	его понимания	2	2
131	от него	4	2
132	она не	4	2
133	есть лишь	9	2
134	к тому	3	2
135	и этот	4	2
136	не все	2	2
137	что и	4	2
138	отношению к	2	2
139	не остается	2	2
140	бы и	3	2
141	и сама	2	2
142	человека в	13	2
143	мира и	5	2
144	и он	12	2
145	менее всего	7	2
146	образ и	2	2
147	связана с	2	2
148	тем что	4	2
149	могут быть	2	2
150	не знает	4	2
151	от нее	5	2
