N	2gram	Vygotskiy__3	Problema
1	и не	10	28
2	не только	6	24
3	только в	10	23
4	в виде	3	22
5	в том	23	20
6	и в	25	20
7	ни в	9	17
8	все эти	7	16
9	смысле слова	2	15
10	то что	15	15
11	потому что	6	15
12	было бы	10	14
13	той или	2	14
14	но и	4	14
15	точки зрения	6	14
16	перед нами	10	13
17	или иной	3	13
18	не в	6	13
19	не есть	3	12
20	в себе	2	12
21	том что	20	12
22	прежде всего	4	11
23	по себе	7	11
24	не менее	6	10
25	тем не	5	10
26	отнюдь не	4	10
27	в качестве	12	10
28	не является	8	10
29	так и	5	10
30	и его	2	10
31	это значит	4	10
32	едва ли	2	10
33	может быть	13	9
34	все это	6	9
35	в этом	14	9
36	если бы	5	8
37	что он	6	8
38	таким образом	17	8
39	в результате	3	8
40	во всяком	4	8
41	и все	4	8
42	значит что	4	8
43	с другой	6	7
44	ясно что	2	7
45	еще не	4	7
46	такого рода	2	7
47	мы не	9	7
48	и потому	2	7
49	то же	2	7
50	именно в	5	7
51	сказать что	4	7
52	об этом	2	6
53	всех этих	2	6
54	и от	2	6
55	так что	2	6
56	а также	2	6
57	для нас	2	6
58	как и	15	6
59	но это	5	6
60	по своему	11	6
61	при этом	5	6
62	другой стороны	3	6
63	в таком	2	6
64	только при	2	6
65	в каком	2	6
66	мы имеем	4	6
67	но не	6	5
68	хотя и	2	5
69	в нем	2	5
70	в смысле	4	5
71	вместе с	14	5
72	как в	9	5
73	так же	17	5
74	то и	4	5
75	не может	6	5
76	в них	2	5
77	так как	12	5
78	если мы	3	5
79	уже не	2	5
80	или в	2	5
81	в этих	2	5
82	ничего общего	3	5
83	о том	5	5
84	уже в	7	4
85	с тем	16	4
86	в отношении	6	4
87	в какой	4	4
88	и для	2	4
89	и во	2	4
90	в одном	2	4
91	и понятие	2	4
92	в этой	5	4
93	тем самым	2	4
94	указывает на	2	4
95	в своей	2	4
96	что она	5	4
97	как бы	10	4
98	всяком случае	4	4
99	же в	2	4
100	отличается от	3	4
101	и только	2	4
102	с этим	4	4
103	а в	4	4
104	можно было	6	4
105	в то	4	4
106	с ним	4	4
107	в связи	6	3
108	к тому	4	3
109	независимо от	4	3
110	можно ли	2	3
111	были бы	3	3
112	все они	2	3
113	в жизни	3	3
114	виде как	2	3
115	ни на	2	3
116	этом смысле	2	3
117	или иного	2	3
118	и к	5	3
119	является для	2	3
120	как мы	8	3
121	для него	5	3
122	здесь мы	2	3
123	и как	5	3
124	но все	2	3
125	в начале	2	3
126	связи с	9	3
127	имеем дело	2	3
128	в его	15	3
129	что и	10	3
130	в зависимости	5	3
131	что в	17	3
132	в новое	2	3
133	в своем	4	3
134	и другое	5	3
135	для того	7	3
136	из которых	5	3
137	что мы	7	3
138	что понятие	4	3
139	с другими	2	3
140	понятия и	3	3
141	которая не	4	3
142	и на	6	3
143	тем что	8	3
144	из них	4	3
145	и мышления	2	3
146	но как	3	3
147	мы должны	6	3
148	зависимости от	6	3
149	того или	2	3
150	без этого	2	3
151	как это	7	3
152	в области	7	3
153	мы можем	7	3
154	в известном	4	2
155	но они	2	2
156	все время	2	2
157	в частности	4	2
158	по этому	3	2
159	однако в	2	2
160	между собой	13	2
161	для этого	2	2
162	в корне	2	2
163	столь же	7	2
164	в понятии	5	2
165	с его	2	2
166	то в	3	2
167	является не	2	2
168	что они	10	2
169	заключается в	9	2
170	так называемая	4	2
171	том виде	2	2
172	то время	4	2
173	тот же	2	2
174	и может	2	2
175	со всеми	6	2
176	от понятия	3	2
177	что это	5	2
178	на его	2	2
179	в самом	3	2
180	как показывает	2	2
181	он не	4	2
182	время как	4	2
183	в котором	3	2
184	что перед	4	2
185	сами по	3	2
186	понятия но	3	2
187	не могли	3	2
188	все же	6	2
189	с ее	5	2
190	на этой	5	2
191	не будет	2	2
192	показывает исследование	2	2
193	с ней	3	2
194	бы быть	2	2
195	или менее	3	2
196	но только	3	2
197	дело с	3	2
198	в совершенно	2	2
199	уже по	2	2
200	совершенно ясно	2	2
201	и что	10	2
202	того чтобы	8	2
203	ни было	2	2
204	только что	2	2
205	и по	5	2
206	иное чем	2	2
207	друг друга	4	2
208	с ними	3	2
209	как они	2	2
210	функции в	2	2
211	не тем	2	2
212	понятие не	2	2
213	приходит к	6	2
214	и то	2	2
215	во всем	3	2
216	его в	3	2
217	и это	4	2
218	в чем	2	2
219	того же	6	2
220	но по	2	2
