N	2gram	Bakhtin_sl_2	Vvedenie
1	и т	35	42
2	т д	2	36
3	и в	39	32
4	в том	5	31
5	в этом	16	30
6	может быть	37	26
7	том что	5	26
8	не только	24	22
9	для того	2	21
10	того чтобы	2	20
11	таким образом	8	19
12	также и	2	18
13	то что	2	16
14	так как	4	15
15	не может	20	14
16	в нем	19	13
17	о том	2	13
18	в их	2	12
19	и не	22	12
20	в его	7	12
21	только в	5	12
22	как мы	7	11
23	в данном	2	11
24	языка и	9	10
25	что в	3	10
26	но в	6	9
27	и как	3	9
28	в истории	11	9
29	между тем	3	9
30	по себе	5	9
31	то же	4	9
32	в той	4	9
33	не менее	4	8
34	с другой	5	8
35	это не	5	8
36	не в	9	8
37	именно в	2	8
38	прежде всего	8	7
39	точки зрения	8	7
40	но не	6	7
41	все же	6	7
42	дело с	4	7
43	не могут	5	6
44	до сих	2	6
45	же время	4	6
46	один из	5	6
47	но и	21	6
48	все это	16	6
49	и даже	7	6
50	в то	4	6
51	его в	4	6
52	как он	2	6
53	вовсе не	10	6
54	как и	6	6
55	сих пор	2	6
56	а именно	2	6
57	хотя бы	3	6
58	и его	33	6
59	уже в	2	5
60	как бы	7	5
61	имеет дело	2	5
62	одним из	2	5
63	с их	3	5
64	сказать что	3	5
65	в них	6	5
66	как например	2	5
67	на почве	4	5
68	вместе с	2	5
69	т п	33	5
70	а не	14	5
71	могут быть	7	5
72	независимо от	2	4
73	язык как	3	4
74	как уже	2	4
75	этом случае	6	4
76	как о	2	4
77	одной стороны	5	4
78	всяком случае	2	4
79	по отношению	4	4
80	в особенности	3	4
81	этом отношении	3	4
82	с одной	5	4
83	а в	4	4
84	даже и	4	4
85	как это	3	4
86	в чисто	3	4
87	что он	2	4
88	еще не	7	4
89	отношению к	4	4
90	в виде	2	4
91	уже не	5	4
92	и для	5	4
93	той же	3	4
94	во всяком	3	4
95	в себе	2	4
96	только с	2	4
97	истории литературы	3	3
98	сама по	3	3
99	в этих	7	3
100	в собственном	3	3
101	бы и	3	3
102	сливается с	4	3
103	но все	5	3
104	на этом	3	3
105	до конца	17	3
106	при этом	7	3
107	от характера	2	3
108	хотя и	2	3
109	в ней	3	3
110	именно как	2	3
111	к нему	3	3
112	мы видели	2	3
113	отношение к	4	3
114	в своем	6	3
115	язык и	7	3
116	все эти	6	3
117	и других	4	3
118	и на	4	3
119	в результате	2	3
120	языка в	6	3
121	говорить о	3	3
122	тогда когда	2	3
123	однако в	2	3
124	стороны и	3	3
125	в различных	2	3
126	и к	6	3
127	материал для	2	3
128	связи с	3	3
129	в чем	3	3
130	чем в	2	3
131	в германии	2	3
132	в одном	2	3
133	в сущности	6	3
134	а также	3	3
135	языков в	8	3
136	должен быть	2	3
137	что и	3	3
138	дело в	2	3
139	собственном смысле	3	3
140	или как	4	3
141	в области	2	3
142	должна быть	3	2
143	и другие	2	2
144	никогда не	7	2
145	для этого	4	2
146	в отношении	4	2
147	или иной	5	2
148	в дальнейшем	2	2
149	но это	3	2
150	и др	4	2
151	значение в	2	2
152	в форме	2	2
153	них и	2	2
154	в связи	2	2
155	не было	2	2
156	языка или	2	2
157	с помощью	4	2
158	именно на	2	2
159	этих случаях	2	2
160	рядом с	3	2
161	языка с	2	2
162	не столько	3	2
163	в более	2	2
164	и с	9	2
165	с этим	2	2
166	нуждается в	2	2
167	той или	5	2
168	и здесь	2	2
169	единого и	2	2
170	так и	15	2
171	ни к	2	2
172	на котором	2	2
173	языка а	5	2
174	не с	3	2
175	и при	2	2
176	от действительности	2	2
177	во всех	12	2
178	в прошлом	2	2
179	жизни и	6	2
180	мы уже	2	2
181	быть и	3	2
182	в языке	2	2
183	входит в	4	2
184	того как	2	2
185	язык в	6	2
186	в значительной	6	2
187	с точки	3	2
188	мы не	2	2
189	языка не	4	2
190	еще раз	3	2
191	в другом	2	2
192	на протяжении	2	2
193	здесь не	4	2
194	одна из	4	2
