N	2gram	Tiupa_Anal_2	Myshleni
1	в том	12	28
2	и в	16	28
3	то что	7	28
4	в этом	18	27
5	того что	2	24
6	не может	4	19
7	том что	12	19
8	таким образом	2	18
9	только в	4	18
10	что в	2	17
11	не только	16	16
12	так же	2	15
13	может быть	6	13
14	сказать что	2	13
15	точки зрения	4	13
16	и не	12	11
17	как бы	10	11
18	к тому	7	10
19	как мы	3	10
20	но и	12	10
21	по отношению	4	10
22	но не	4	10
23	отношению к	4	10
24	с точки	2	10
25	было бы	3	9
26	никогда не	3	8
27	в самом	6	8
28	еще не	2	8
29	тем самым	4	8
30	тем что	3	8
31	того же	4	7
32	если бы	3	7
33	в сущности	4	7
34	в своем	4	7
35	он не	2	7
36	вместе с	2	7
37	то же	4	7
38	можно было	3	7
39	и к	5	6
40	при переходе	2	6
41	так что	3	6
42	для него	4	6
43	не имеет	2	6
44	в то	2	6
45	его в	2	6
46	как и	14	6
47	можно сказать	4	6
48	к предмету	2	6
49	так и	15	6
50	приводит к	3	6
51	как раз	4	6
52	вообще не	2	6
53	в пределах	9	5
54	и тем	4	5
55	на этой	2	5
56	языка и	2	5
57	и на	6	5
58	и все	3	5
59	но в	6	5
60	речи и	2	5
61	что все	2	5
62	могут быть	10	5
63	в этой	9	5
64	именно в	3	4
65	в частности	16	4
66	в нашем	3	4
67	на то	2	4
68	что на	3	4
69	не в	4	4
70	на этом	4	4
71	нас к	2	4
72	на этот	2	4
73	совпадает с	4	4
74	в состоянии	2	4
75	самом начале	3	4
76	на основе	2	4
77	мы имеем	3	4
78	в сознании	4	4
79	в качестве	11	4
80	что и	3	4
81	во всех	4	4
82	той же	2	4
83	и то	3	4
84	в себе	7	4
85	в ходе	4	3
86	как это	6	3
87	есть в	3	3
88	что с	2	3
89	при этом	10	3
90	на его	3	3
91	хотя и	4	3
92	в целом	8	3
93	в их	3	3
94	этом отношении	3	3
95	те же	2	3
96	бы в	3	3
97	только не	4	3
98	на фоне	3	3
99	в случае	2	3
100	по себе	2	3
101	иначе говоря	11	3
102	один из	2	3
103	в его	2	3
104	как в	4	3
105	в себя	4	3
106	а не	10	3
107	и его	4	3
108	представляет собой	8	3
109	не знает	3	3
110	и т.д	3	3
111	представляют собой	2	3
112	отношения к	2	3
113	не менее	4	2
114	казалось бы	3	2
115	в этих	2	2
116	с другой	6	2
117	в конце	4	2
118	была бы	2	2
119	прежде всего	3	2
120	имеем дело	3	2
121	несмотря на	3	2
122	имеет место	4	2
123	и является	4	2
124	в котором	2	2
125	во второй	4	2
126	из них	3	2
127	все это	4	2
128	другой стороны	2	2
129	с ними	3	2
130	к его	2	2
131	и иной	2	2
132	с ним	2	2
133	между двумя	4	2
134	состоит в	8	2
135	у него	4	2
136	для всех	2	2
137	на котором	2	2
138	в одном	2	2
139	этом смысле	2	2
140	не с	4	2
141	этом случае	4	2
142	по существу	2	2
143	она не	2	2
144	в своей	2	2
145	ключ к	3	2
146	этого слова	3	2
147	еще в	2	2
148	только на	3	2
149	внимание на	2	2
150	речи в	2	2
151	а в	3	2
152	в значительной	2	2
153	своего собственного	2	2
154	в данном	8	2
155	оказывается не	2	2
