N	2gram	Berdyaev_V_1	Istorich
1	и т	2	27
2	и в	16	26
3	т д	2	24
4	то что	9	16
5	не только	2	15
6	что в	3	14
7	но и	5	12
8	что он	4	10
9	так и	4	10
10	что и	3	9
11	и не	20	9
12	так как	9	9
13	а в	2	8
14	в этих	3	7
15	превращается в	3	7
16	как и	4	7
17	их в	3	7
18	в этом	4	7
19	что они	7	6
20	еще не	8	6
21	а не	7	6
22	и то	2	6
23	потому что	4	6
24	могут быть	2	6
25	это не	2	5
26	но не	2	5
27	в его	4	5
28	то это	3	5
29	и что	3	5
30	уже не	2	5
31	не в	3	5
32	тем что	2	5
33	но в	3	5
34	на себя	5	4
35	все что	4	4
36	в своей	3	4
37	в образе	4	3
38	для нас	2	3
39	в том	3	3
40	том что	2	3
41	его к	2	3
42	но это	3	3
43	как бы	5	3
44	все эти	3	3
45	но мы	2	3
46	на земле	7	3
47	не имеет	3	3
48	что мы	4	3
49	только в	2	3
50	не могут	2	2
51	с тем	2	2
52	должна быть	3	2
53	и есть	4	2
54	никогда не	3	2
55	его и	2	2
56	и во	2	2
57	и все	4	2
58	это мы	2	2
59	ни в	3	2
60	что я	3	2
61	в истории	8	2
62	одна из	2	2
63	от него	2	2
64	конечно не	2	2
65	хотя и	5	2
66	хотя бы	3	2
67	в нем	4	2
68	не есть	6	2
69	не к	2	2
70	на том	2	2
71	в форме	2	2
72	от которого	3	2
73	все это	5	2
74	что есть	5	2
75	и за	2	2
76	и они	3	2
77	лишь в	3	2
78	того что	5	2
79	земли и	2	2
80	так много	2	2
