N	2gram	Vinokur_Vv_1	EvropaiC
1	таким образом	19	32
2	в том	31	31
3	и в	27	24
4	том что	26	20
5	все эти	3	19
6	не может	13	18
7	то что	17	17
8	может быть	24	15
9	все же	8	15
10	к культуре	2	14
11	точки зрения	7	13
12	в своем	3	12
13	до сих	5	12
14	сих пор	5	12
15	самом деле	6	12
16	в этом	34	12
17	все это	6	11
18	между тем	8	11
19	с этим	2	11
20	отношению к	4	10
21	как бы	5	10
22	по отношению	4	10
23	культуры в	5	10
24	во всех	2	10
25	при этом	3	9
26	в результате	3	9
27	как и	5	9
28	того же	3	9
29	что в	11	9
30	не в	8	8
31	в самом	12	8
32	так же	3	8
33	если бы	2	8
34	ясно что	9	8
35	идет речь	2	8
36	с точки	2	8
37	не менее	8	7
38	для этого	3	7
39	к тому	4	7
40	но и	5	7
41	и не	13	7
42	и что	4	7
43	национальной культуры	4	7
44	из этих	5	7
45	о котором	8	7
46	о том	15	7
47	что он	4	7
48	о которых	2	7
49	по существу	2	7
50	в силу	3	7
51	того чтобы	21	7
52	для того	21	7
53	должна быть	2	6
54	с другой	8	6
55	так что	5	6
56	в этой	3	6
57	в общем	12	6
58	несмотря на	2	6
59	того что	12	6
60	как на	11	6
61	и на	3	6
62	народов и	2	6
63	так как	13	6
64	и при	2	6
65	еще не	4	6
66	что и	3	6
67	тогда как	2	6
68	мы можем	2	6
69	только в	13	6
70	данного народа	2	6
71	вместе с	6	6
72	именно в	8	5
73	что это	3	5
74	и без	2	5
75	что с	3	5
76	в целом	5	5
77	другой стороны	5	5
78	и с	2	5
79	потому что	14	5
80	его в	6	5
81	но в	10	5
82	сравнению с	3	5
83	к этому	3	5
84	в то	5	5
85	по своему	5	5
86	в его	10	5
87	не только	21	5
88	по сравнению	3	5
89	быть и	2	5
90	котором идет	2	5
91	и для	4	5
92	но все	3	5
93	в себе	4	5
94	как будто	3	5
95	и истории	2	5
96	на вопрос	6	4
97	не могут	5	4
98	течением времени	6	4
99	никогда не	3	4
100	в конце	3	4
101	чем больше	2	4
102	этом случае	6	4
103	из того	2	4
104	тем не	8	4
105	в дальнейшем	2	4
106	это есть	2	4
107	одним из	5	4
108	хотя и	3	4
109	отношение к	3	4
110	из них	3	4
111	как сказано	2	4
112	в их	11	4
113	а потому	3	4
114	с течением	6	4
115	должно быть	2	4
116	сильнее чем	2	4
117	и то	5	4
118	связи с	3	4
119	том же	2	4
120	конце концов	2	4
121	не есть	4	4
122	то же	8	4
123	в течение	5	4
124	этой области	3	4
125	и сейчас	2	4
126	в в	3	4
127	из которых	2	4
128	хотя бы	5	4
129	в виде	4	4
130	и т.д	4	4
131	в области	4	4
132	же как	3	3
133	с одной	4	3
134	в этих	3	3
135	целом ряде	2	3
136	одного и	2	3
137	вопрос о	8	3
138	в тех	2	3
139	уже и	7	3
140	не вполне	4	3
141	так или	4	3
142	в нем	13	3
143	на этой	3	3
144	данном случае	5	3
145	от того	3	3
146	в разных	5	3
147	что оно	2	3
148	и других	3	3
149	заключается в	4	3
150	а в	5	3
151	это не	8	3
152	каждый из	2	3
153	в начале	3	3
154	в истории	9	3
155	что мы	2	3
156	при помощи	2	3
157	с тем	6	3
158	прежде всего	8	3
159	и того	2	3
160	у нас	2	3
161	во всем	2	3
162	чем в	3	3
163	что если	2	3
164	на почве	5	3
165	только что	4	3
166	может служить	3	3
167	или иначе	4	3
168	в данном	11	3
169	тем более	2	3
170	в связи	2	3
171	и вообще	3	3
172	культуры как	6	3
173	и это	6	3
174	отличие от	3	3
175	независимо от	3	2
176	в частности	3	2
177	тому что	2	2
178	о них	2	2
179	с этой	4	2
180	как мы	9	2
181	это может	2	2
182	на этом	3	2
183	что несмотря	2	2
184	же время	5	2
185	одной стороны	4	2
186	и сам	2	2
187	к нему	2	2
188	от себя	3	2
189	том чтобы	6	2
190	в ней	3	2
191	но если	3	2
192	в виду	4	2
193	всяком случае	3	2
194	принять во	2	2
195	в котором	4	2
196	и уже	3	2
197	мы видели	2	2
198	по его	2	2
199	на том	3	2
200	и до	2	2
201	этот процесс	3	2
202	что она	3	2
203	во втором	2	2
204	смотреть на	4	2
205	и те	2	2
206	в которых	6	2
207	широком смысле	8	2
208	не следует	2	2
209	одно из	5	2
210	но как	2	2
211	говорить о	3	2
212	также и	16	2
213	на нее	2	2
214	во всяком	3	2
215	в них	4	2
216	следует что	2	2
217	группы народов	4	2
218	же касается	2	2
219	гораздо более	3	2
220	тогда когда	3	2
221	должен быть	4	2
222	представить себе	5	2
223	вовсе не	6	2
224	при том	5	2
225	так чтобы	3	2
226	одна из	2	2
227	но не	7	2
228	том виде	3	2
229	ближе к	2	2
230	было бы	5	2
231	жизни и	2	2
232	в сущности	3	2
233	во внимание	2	2
234	него в	2	2
235	что же	3	2
236	как две	3	2
237	но с	4	2
238	одной и	2	2
239	о которой	2	2
240	между ними	2	2
241	этот вопрос	4	2
242	невозможно но	2	2
243	и ее	4	2
244	в другом	3	2
245	если это	2	2
246	этого слова	2	2
247	если же	2	2
