N	2gram	Medvedev_F_1	EvropaiE
1	и в	24	37
2	в отношении	3	32
3	в пределах	6	25
4	точки зрения	16	23
5	что в	4	21
6	не только	7	18
7	с точки	13	17
8	в то	9	16
9	хотя бы	5	15
10	то же	10	15
11	отношении к	2	15
12	в своем	11	14
13	же время	8	14
14	но и	7	14
15	и не	20	14
16	но в	5	14
17	в этом	15	12
18	в их	11	11
19	в том	6	11
20	в области	3	11
21	так и	18	10
22	отнюдь не	6	9
23	прежде всего	22	9
24	все более	2	9
25	не может	16	9
26	т е	34	9
27	в себе	3	9
28	только в	2	9
29	так же	4	9
30	думать что	3	8
31	к тому	3	8
32	в ее	8	8
33	одной стороны	4	8
34	было бы	6	8
35	в своей	11	8
36	с одной	4	8
37	между тем	2	8
38	как и	11	7
39	того что	5	7
40	с другой	5	7
41	с этой	4	6
42	вовсе не	10	6
43	стороны и	4	6
44	может быть	14	6
45	как бы	6	6
46	то что	8	6
47	во всех	5	6
48	и даже	3	6
49	и на	8	6
50	же как	2	5
51	в частности	4	5
52	не в	8	5
53	но не	3	5
54	одной из	2	5
55	со стороны	5	5
56	как мы	5	5
57	тем самым	3	5
58	от этого	2	5
59	в россии	3	5
60	и потому	9	5
61	ни было	2	4
62	независимо от	4	4
63	то ни	3	4
64	техники и	2	4
65	именно в	8	4
66	вопрос о	2	4
67	или иного	3	4
68	бы то	3	4
69	в самом	5	4
70	в ней	10	4
71	к ней	2	4
72	в процессе	9	4
73	по себе	5	4
74	не на	2	4
75	мы не	3	4
76	того или	2	4
77	как это	6	4
78	мира в	2	4
79	место в	7	3
80	и к	4	3
81	с тем	2	3
82	на своем	2	3
83	никогда не	4	3
84	и со	2	3
85	жизни в	2	3
86	в них	3	3
87	и от	7	3
88	в общем	3	3
89	мы видели	2	3
90	применении к	2	3
91	в свою	8	3
92	не дает	2	3
93	бы ни	5	3
94	всяком случае	4	3
95	что и	2	3
96	когда он	3	3
97	время в	3	3
98	как в	8	3
99	идет о	2	3
100	как на	4	3
101	не из	4	3
102	в результате	2	3
103	во всяком	4	3
104	ни на	3	3
105	в применении	2	3
106	большинстве случаев	2	3
107	и более	2	2
108	подходит к	3	2
109	а не	10	2
110	культуры с	2	2
111	с этим	2	2
112	в большинстве	3	2
113	и все	6	2
114	в одном	2	2
115	главным образом	4	2
116	в содержании	7	2
117	влияние на	3	2
118	же в	3	2
119	и как	3	2
120	свою очередь	6	2
121	между ними	3	2
122	должна быть	7	2
123	не можем	2	2
124	и если	2	2
125	она не	6	2
126	от друга	2	2
127	дело идет	3	2
128	на язык	3	2
129	он не	3	2
130	в его	23	2
131	точка зрения	2	2
132	не есть	2	2
133	и отчасти	3	2
134	в мире	4	2
135	друг от	2	2
136	ее от	2	2
137	жизни и	7	2
138	вместе с	2	2
139	всего в	3	2
140	во всей	2	2
141	целый ряд	3	2
142	а в	6	2
143	таким образом	13	2
144	если бы	4	2
145	в идеологическом	6	2
146	и других	3	2
147	культуры и	3	2
148	и что	2	2
149	и наконец	3	2
150	как их	2	2
151	с другими	4	2
152	на основе	6	2
153	в другой	2	2
154	в своих	2	2
155	и чем	3	2
156	и с	8	2
157	в этой	6	2
158	в истории	4	2
159	бы в	3	2
160	в эту	2	2
161	проблемы и	2	2
