N	2gram	Vinokur_St_2	Myslijsy
1	потому что	9	49
2	и в	29	24
3	может быть	2	23
4	то что	11	20
5	и не	9	19
6	а не	5	18
7	в том	27	18
8	что в	19	16
9	по себе	3	15
10	не только	19	15
11	того же	2	14
12	при этом	2	13
13	было бы	5	13
14	не в	4	13
15	но не	3	12
16	не может	2	12
17	то же	2	12
18	если бы	2	11
19	что и	2	11
20	вместе с	7	11
21	только в	2	11
22	таким образом	10	11
23	для него	4	10
24	в себе	2	10
25	так что	3	10
26	как в	3	10
27	тогда как	2	10
28	так как	2	10
29	вовсе не	6	9
30	в нем	4	9
31	как бы	5	9
32	но и	19	9
33	том что	27	8
34	более или	2	8
35	или менее	2	8
36	и на	6	8
37	в этом	21	8
38	прежде всего	5	7
39	во всяком	3	7
40	всяком случае	3	7
41	сами по	2	7
42	как и	2	7
43	того что	5	7
44	тем что	3	7
45	с этим	3	7
46	того как	7	7
47	связи с	4	6
48	с другой	4	6
49	в одном	6	6
50	и как	2	6
51	по поводу	8	6
52	тем не	2	6
53	и т	9	6
54	не было	3	6
55	не имеет	2	6
56	между тем	5	6
57	в то	2	6
58	не менее	3	5
59	что они	2	5
60	если б	4	5
61	на то	2	5
62	о том	17	5
63	так и	9	5
64	в них	2	5
65	для того	7	5
66	бы ни	2	5
67	из них	3	5
68	все же	6	5
69	в которой	11	5
70	во время	2	4
71	никогда не	3	4
72	что он	13	4
73	до сих	6	4
74	в самом	7	4
75	между прочим	12	4
76	в котором	7	4
77	в некоторых	2	4
78	сих пор	5	4
79	если не	2	4
80	и что	6	4
81	они не	2	4
82	как он	2	4
83	там где	2	4
84	том смысле	2	4
85	одном из	3	4
86	с тем	7	4
87	но в	8	4
88	на вопрос	3	3
89	что это	3	3
90	так например	7	3
91	оно не	3	3
92	хотя и	4	3
93	что на	3	3
94	о которых	2	3
95	ни было	2	3
96	только по	2	3
97	очевидно что	2	3
98	кажется что	3	3
99	но это	3	3
100	например в	3	3
101	в ней	7	3
102	его в	2	3
103	со стороны	2	3
104	отношений между	3	3
105	только что	2	3
106	в языке	5	3
107	т п	3	3
108	т д	6	3
109	тем же	2	3
110	его не	3	3
111	как на	9	3
112	вряд ли	3	3
113	в каком	2	3
114	как например	2	3
115	и вообще	2	3
116	в этих	3	3
117	которые не	3	3
118	в эту	3	3
119	самого начала	3	2
120	и его	6	2
121	что у	4	2
122	в какой	2	2
123	но он	3	2
124	хотя бы	3	2
125	не столько	7	2
126	и это	2	2
127	а к	2	2
128	с нею	3	2
129	к этому	4	2
130	вопрос о	6	2
131	с его	2	2
132	не дает	2	2
133	после того	4	2
134	только потому	2	2
135	у нас	3	2
136	такое же	2	2
137	но все	7	2
138	все эти	2	2
139	так же	3	2
140	было для	2	2
141	что ему	3	2
142	что с	2	2
143	в общем	3	2
144	оба эти	3	2
145	в его	13	2
146	не знали	5	2
147	и потому	2	2
148	ни с	2	2
149	все это	11	2
150	другой стороны	3	2
151	внимание на	4	2
152	воспоминания о	2	2
153	например что	2	2
154	что за	2	2
155	а с	3	2
156	на самом	3	2
157	самом деле	3	2
158	с самого	3	2
159	того чтобы	6	2
160	что такое	2	2
161	и по	3	2
162	как это	2	2
163	сравнении с	2	2
164	появления в	3	2
165	и здесь	3	2
166	сказать что	2	2
167	тому что	7	2
168	не на	2	2
169	не то	3	2
170	в другом	4	2
171	факт что	6	2
172	отношении к	3	2
173	на память	4	2
174	само собою	2	2
175	это было	2	2
