N	2gram	Nazirov_Vr_1	Analitik
1	может быть	4	29
2	в том	3	27
3	не может	2	22
4	и не	5	21
5	и в	8	18
6	но и	7	17
7	отнюдь не	2	15
8	не только	9	15
9	тогда как	2	14
10	как и	6	13
11	в его	3	13
12	в этом	8	13
13	том что	3	12
14	при этом	4	12
15	в себе	2	11
16	то же	5	9
17	а в	2	9
18	в то	5	9
19	в мире	2	8
20	в той	2	8
21	но в	6	8
22	это не	4	6
23	же время	5	6
24	далеко не	3	6
25	то что	7	6
26	в своей	2	6
27	точки зрения	2	6
28	и как	3	5
29	в этой	2	5
30	что в	7	5
31	как бы	4	5
32	и т.п	2	5
33	и его	3	5
34	между тем	5	5
35	о том	4	5
36	столь же	2	4
37	все же	6	4
38	вместе с	2	4
39	уже не	2	4
40	с точки	2	4
41	с ним	4	4
42	место в	2	3
43	с его	3	3
44	и все	7	3
45	в нем	6	3
46	что он	4	3
47	еще не	2	3
48	одним из	3	3
49	он не	3	3
50	о нем	6	3
51	в котором	6	3
52	таким образом	2	3
53	а с	2	3
54	а также	2	3
55	и то	2	2
56	никогда не	2	2
57	его и	2	2
58	на место	2	2
59	в начале	6	2
60	х годов	4	2
61	отношение к	2	2
62	для него	2	2
63	несмотря на	4	2
64	и о	3	2
65	из них	2	2
66	отношения к	2	2
67	на основе	2	2
68	тем более	2	2
69	при помощи	2	2
70	и с	6	2
