N	3gram	Trubetskoy_1	KulturaY
1	с точки зрения	8	16
2	в самом деле	5	11
3	для того чтобы	7	11
4	тем не менее	4	9
5	в том что	15	8
6	до сих пор	8	8
7	в данном случае	3	4
8	в связи с	3	4
9	с одной стороны	2	4
10	в том случае	4	4
11	в этом случае	4	4
12	с другой стороны	4	3
13	не может быть	3	3
14	на самом деле	7	3
15	о том что	4	3
16	а с другой	2	3
17	и того же	3	2
18	при этом что	2	2
19	только то что	2	2
20	более или менее	7	2
21	по отношению к	9	2
22	лишь в том	5	2
23	к тому же	5	2
24	принять во внимание	2	2
25	одного и того	3	2
