N	3gram	Losev_Prob_4	Vvedenie
1	и т д	3	36
2	для того чтобы	2	20
3	о том что	3	12
4	в том что	8	12
5	тем не менее	10	8
6	в этом смысле	3	8
7	в то же	2	6
8	с другой стороны	6	5
9	в том чтобы	2	5
10	в данном случае	5	4
11	по крайней мере	6	4
12	не только в	4	4
13	можно было бы	4	4
14	что иное как	2	4
15	не что иное	2	4
16	во всяком случае	4	4
17	в том виде	2	3
18	и тем не	3	3
19	вместе с тем	3	3
20	сама по себе	2	3
21	заключается в том	2	3
22	как будто бы	2	2
23	той или иной	11	2
24	а также и	2	2
25	с точки зрения	11	2
26	в значительной мере	2	2
27	точно так же	3	2
28	не говоря уже	2	2
29	хотя бы и	2	2
30	то же самое	6	2
31	есть не что	2	2
32	в связи с	3	2
33	потому что он	2	2
