N	2gram	Losev_Vesc_1	DiskursI
1	не только	36	28
2	в том	8	23
3	а не	19	22
4	том что	8	19
5	может быть	16	17
6	и в	21	16
7	как и	8	16
8	в этом	4	15
9	еще не	8	14
10	но и	18	14
11	прежде всего	9	11
12	но не	5	11
13	и не	29	11
14	по своей	2	11
15	с другой	6	10
16	в нем	2	9
17	одной стороны	3	9
18	не может	17	9
19	с одной	3	9
20	отнюдь не	5	8
21	так и	3	8
22	о том	6	8
23	но в	5	8
24	в основе	3	7
25	в его	2	7
26	со стороны	5	7
27	то же	6	7
28	в себе	14	7
29	только в	14	7
30	не в	5	7
31	в своем	6	6
32	и как	8	6
33	к тому	3	5
34	можно сказать	6	5
35	в силу	3	5
36	как бы	12	5
37	в котором	3	5
38	в своей	5	5
39	то что	27	5
40	во всех	2	5
41	а с	3	5
42	а в	4	5
43	в себя	13	5
44	сводится к	2	5
45	в данном	5	5
46	что в	9	4
47	для себя	5	4
48	во втором	2	4
49	уже не	9	4
50	для него	4	4
51	не предполагает	4	4
52	и о	3	4
53	что не	5	4
54	потому что	16	4
55	перед нами	2	3
56	того же	5	3
57	это не	5	3
58	по себе	13	3
59	что и	3	3
60	в ее	7	3
61	и того	2	3
62	свою очередь	4	3
63	в свою	4	3
64	с этим	3	3
65	в действительности	7	3
66	в самом	9	3
67	той или	2	3
68	себе не	3	3
69	один из	3	3
70	не с	7	3
71	хотя бы	6	3
72	все же	4	3
73	из них	4	3
74	таким образом	8	3
75	того что	8	3
76	должны быть	4	3
77	другой стороны	2	3
78	и даже	6	3
79	сказать что	17	3
80	общения с	23	3
81	тем что	2	3
82	точки зрения	5	3
83	неотделимо от	2	3
84	в то	3	3
85	тому как	4	3
86	также и	6	3
87	в первом	2	3
88	и потому	5	3
89	слова в	2	2
90	не менее	3	2
91	и есть	26	2
92	никогда не	2	2
93	и без	3	2
94	к себе	4	2
95	и во	3	2
96	по крайней	4	2
97	и все	5	2
98	в одном	2	2
99	на ее	3	2
100	имеем дело	3	2
101	однако это	2	2
102	стороны и	2	2
103	различие между	2	2
104	об этом	3	2
105	крайней мере	4	2
106	основе своей	2	2
107	общения и	2	2
108	на этом	2	2
109	отличается от	7	2
110	не сможет	2	2
111	в сущности	4	2
112	хотя и	4	2
113	сами по	3	2
114	оно не	3	2
115	и тем	3	2
116	не есть	49	2
117	с ее	6	2
118	себя в	10	2
119	дело не	2	2
120	что же	8	2
121	данном случае	2	2
122	мысли и	3	2
123	как к	4	2
124	как мы	4	2
125	и что	15	2
126	свидетельствует о	3	2
127	то с	3	2
128	и его	2	2
129	или в	2	2
130	во всяком	3	2
131	мы имеем	7	2
132	подобно тому	4	2
133	и ее	18	2
134	в другом	2	2
135	могла бы	3	2
136	в этой	3	2
137	в виду	2	2
