N	2gram	Bakhtin_Fr_5	Vladivir
1	и в	45	30
2	в году	3	24
3	то что	2	20
4	в этом	14	20
5	у него	4	19
6	в том	10	18
7	и не	15	18
8	и с	10	14
9	что он	6	13
10	в конце	7	13
11	том что	7	12
12	что в	12	12
13	не только	14	12
14	в его	13	11
15	а в	4	11
16	как мы	8	11
17	сказать что	4	11
18	а также	4	10
19	и вообще	2	10
20	и даже	4	10
21	не было	3	10
22	не в	7	9
23	для него	3	9
24	кроме того	4	9
25	было бы	2	9
26	все же	2	9
27	потому что	7	9
28	не может	5	9
29	в то	11	9
30	связи с	6	8
31	в своем	11	8
32	вместе с	3	8
33	но и	10	8
34	в связи	5	8
35	не мог	4	8
36	но в	14	8
37	не менее	3	7
38	точки зрения	4	7
39	и все	7	7
40	ни в	3	7
41	может быть	2	7
42	в эти	2	7
43	а не	4	7
44	как это	4	7
45	то есть	25	7
46	еще и	3	6
47	хотя и	5	6
48	к этому	2	6
49	прежде всего	10	6
50	и к	5	6
51	об этом	4	6
52	он был	7	6
53	то время	3	6
54	только в	4	6
55	жизни и	8	6
56	а именно	2	6
57	всякого рода	2	6
58	и его	13	6
59	также и	7	6
60	о чем	3	6
61	как и	10	5
62	при этом	2	5
63	того же	3	5
64	в своей	3	5
65	как бы	12	5
66	так и	6	5
67	все это	7	5
68	с этим	4	5
69	в течение	3	5
70	и что	2	5
71	того что	3	5
72	все эти	5	5
73	так как	6	5
74	с ним	5	5
75	с его	7	4
76	именно в	3	4
77	эти последние	2	4
78	вовсе не	8	4
79	его в	5	4
80	можно сказать	2	4
81	в этой	6	4
82	в целом	2	4
83	и если	2	4
84	что это	2	4
85	конечно не	2	4
86	несмотря на	2	4
87	и о	4	4
88	в ней	8	4
89	он не	6	4
90	это время	2	4
91	в нем	10	4
92	то же	11	4
93	ко всему	2	4
94	и наконец	2	4
95	на этот	3	4
96	и он	3	4
97	так же	8	4
98	той же	4	4
99	по поводу	4	4
100	и на	5	4
101	но это	5	4
102	в начале	2	4
103	о том	4	4
104	здесь не	6	4
105	это было	4	4
106	всех этих	6	3
107	в них	6	3
108	в отношении	2	3
109	хотя бы	2	3
110	из этих	3	3
111	это в	2	3
112	же время	9	3
113	что и	7	3
114	по существу	3	3
115	и как	5	3
116	своей жизни	2	3
117	можно говорить	2	3
118	но не	4	3
119	он и	3	3
120	в данном	2	3
121	и для	3	3
122	вплоть до	2	3
123	том же	2	3
124	с точки	2	3
125	во всех	13	3
126	как в	3	3
127	им в	2	3
128	в отличие	2	3
129	таким образом	8	3
130	и вот	3	3
131	и больше	2	3
132	отличие от	2	3
133	не столько	2	3
134	к ней	2	3
135	но он	3	3
136	под названием	2	3
137	и это	4	3
138	дело в	3	3
139	к нему	2	2
140	с которой	2	2
141	еще в	2	2
142	нисколько не	3	2
143	с тем	2	2
144	уже и	2	2
145	и есть	2	2
146	борьба с	2	2
147	жизни в	2	2
148	это не	3	2
149	и от	4	2
150	на все	2	2
151	мы видели	7	2
152	здесь в	4	2
153	вот это	2	2
154	к тому	2	2
155	в общем	4	2
156	на котором	2	2
157	ли он	2	2
158	из его	2	2
159	церкви и	2	2
160	на этом	5	2
161	по своему	4	2
162	единство и	3	2
163	в париж	2	2
164	есть и	5	2
165	во второй	2	2
166	мы уже	4	2
167	в самом	4	2
168	в сущности	4	2
169	для того	6	2
170	даже в	2	2
171	еще один	2	2
172	не имеет	3	2
173	и до	2	2
174	данном случае	2	2
175	в их	4	2
176	но его	3	2
177	но дело	2	2
178	начиная с	2	2
179	и притом	2	2
180	мы находим	4	2
181	и она	2	2
182	того чтобы	6	2
183	в чем	2	2
184	и прежде	3	2
185	его не	4	2
186	можно было	4	2
187	нас в	2	2
188	мысли и	6	2
189	и во	4	2
190	тут же	2	2
191	народа и	2	2
192	на эту	2	2
193	как он	3	2
194	и жизни	2	2
195	ничего не	4	2
196	мы не	4	2
