N	2gram	Ircho_Kome_2	EvropaiC
1	таким образом	6	32
2	в том	11	31
3	и в	26	24
4	том что	9	20
5	не может	3	18
6	то что	6	17
7	может быть	11	15
8	все же	4	15
9	точки зрения	4	13
10	в своем	6	12
11	до сих	2	12
12	сих пор	2	12
13	в этом	10	12
14	все это	3	11
15	между тем	4	11
16	с этим	5	11
17	отношению к	3	10
18	мы знаем	3	10
19	как бы	2	10
20	по отношению	3	10
21	во всех	3	10
22	так и	12	10
23	друг с	2	9
24	как и	4	9
25	того же	3	9
26	с другом	2	9
27	что в	9	9
28	не в	2	8
29	в самом	4	8
30	если бы	9	8
31	и все	2	8
32	ясно что	8	8
33	не менее	4	7
34	к тому	12	7
35	но и	10	7
36	и не	14	7
37	и что	2	7
38	из этих	4	7
39	о том	6	7
40	что он	5	7
41	в силу	2	7
42	того чтобы	6	7
43	для того	5	7
44	из этого	2	7
45	с другой	2	6
46	так что	5	6
47	в этой	3	6
48	и на	7	6
49	что касается	3	6
50	так как	4	6
51	еще не	6	6
52	что и	7	6
53	в мире	2	6
54	мы можем	3	6
55	только в	4	6
56	вместе с	9	6
57	что это	4	5
58	столь же	9	5
59	и от	4	5
60	тому же	11	5
61	у него	4	5
62	в пользу	2	5
63	в целом	4	5
64	и их	3	5
65	и с	5	5
66	потому что	6	5
67	его в	4	5
68	но в	3	5
69	к этому	5	5
70	и к	2	5
71	в то	6	5
72	по своему	2	5
73	и если	2	5
74	в его	4	5
75	не только	7	5
76	и для	4	5
77	но все	3	5
78	как будто	4	5
79	в которой	5	5
80	в конце	2	4
81	что его	3	4
82	одним из	2	4
83	хотя и	4	4
84	отношение к	2	4
85	из них	7	4
86	в их	3	4
87	признать что	2	4
88	связи с	3	4
89	он не	2	4
90	многие из	3	4
91	то же	3	4
92	в течение	2	4
93	в в	4	4
94	из которых	3	4
95	и у	2	4
96	хотя бы	2	4
97	что их	2	3
98	с одной	2	3
99	в нашем	2	3
100	в этих	4	3
101	представление о	2	3
102	вопрос о	3	3
103	в тех	3	3
104	для нас	3	3
105	не вполне	2	3
106	так или	3	3
107	в нем	6	3
108	от того	2	3
109	целый ряд	2	3
110	то ни	2	3
111	а в	3	3
112	это не	2	3
113	в начале	4	3
114	в истории	5	3
115	бы в	2	3
116	с тем	5	3
117	прежде всего	4	3
118	чем в	2	3
119	как известно	2	3
120	тот же	2	3
121	даже в	2	3
122	или иначе	3	3
123	что по	2	3
124	в связи	3	3
125	и это	2	3
126	отличие от	2	3
127	же не	2	3
128	независимо от	5	2
129	в частности	4	2
130	тому что	4	2
131	что у	4	2
132	с этой	3	2
133	что на	3	2
134	как мы	4	2
135	со временем	3	2
136	на этом	2	2
137	же время	3	2
138	одной стороны	2	2
139	и сам	3	2
140	к нему	3	2
141	в ней	3	2
142	но если	3	2
143	в виду	2	2
144	всяком случае	2	2
145	в котором	3	2
146	бы то	2	2
147	что она	2	2
148	что для	4	2
149	в самой	3	2
150	ни было	2	2
151	для этой	2	2
152	в глазах	2	2
153	с ними	2	2
154	не следует	2	2
155	одно из	2	2
156	говорить о	2	2
157	не было	3	2
158	в один	2	2
159	во всяком	2	2
160	отнюдь не	2	2
161	до тех	3	2
162	в них	4	2
163	представить себе	3	2
164	вовсе не	2	2
165	а затем	5	2
166	в на	2	2
167	одна из	2	2
168	но не	3	2
169	тех же	3	2
170	было бы	8	2
171	со своей	3	2
172	жизни и	3	2
173	никто не	3	2
174	и особенно	3	2
175	всех остальных	2	2
176	как не	2	2
177	не более	2	2
178	меньше чем	2	2
179	и ее	2	2
180	и поэтому	3	2
