N	2gram	Medvedev_U_1	Istorich
1	и в	14	24
2	что он	2	21
3	не только	10	21
4	может быть	6	14
5	не может	7	14
6	в этом	7	12
7	но и	4	11
8	это не	3	10
9	том что	2	10
10	с другой	4	9
11	не в	2	9
12	все же	3	9
13	что и	2	8
14	все это	5	8
15	другой стороны	3	8
16	то же	5	8
17	а не	10	8
18	в том	2	7
19	то что	7	7
20	таким образом	2	7
21	тем что	2	6
22	всех этих	2	6
23	как и	3	6
24	но не	2	6
25	только в	2	6
26	что она	2	5
27	ничего не	2	5
28	но в	3	5
29	по существу	2	4
30	в их	4	4
31	если не	2	4
32	и не	8	4
33	мы не	2	4
34	на первый	2	4
35	с его	2	3
36	не столько	2	3
37	превращается в	2	3
38	а его	2	3
39	не все	2	3
40	сих пор	2	3
41	но это	2	3
42	не случайно	2	3
43	что мы	2	3
44	в конце	2	3
45	прежде всего	8	2
46	не могут	2	2
47	в то	3	2
48	было бы	3	2
49	в самом	2	2
50	но конечно	2	2
51	и у	2	2
52	что такое	4	2
53	конечно не	4	2
54	до сих	2	2
