N	2gram	Losev_Dial_2	FransuaR
1	и в	19	49
2	прежде всего	8	19
3	не только	19	17
4	и его	5	17
5	и не	30	15
6	в этом	8	15
7	только в	5	13
8	но и	12	13
9	во время	2	12
10	как и	10	11
11	как бы	14	11
12	вовсе не	13	10
13	в этой	3	10
14	все это	4	9
15	в нем	10	9
16	в сущности	2	8
17	все же	4	7
18	жизни и	6	7
19	не может	9	7
20	таким образом	4	7
21	то же	12	7
22	все эти	2	7
23	как мы	3	7
24	именно в	2	6
25	то что	14	6
26	в истории	2	6
27	же время	5	6
28	мы уже	8	6
29	времени и	9	6
30	во всех	2	6
31	так и	10	6
32	сказать что	10	6
33	и с	5	6
34	но он	4	6
35	точки зрения	12	6
36	в то	6	6
37	так как	14	6
38	никогда не	9	5
39	в своем	4	5
40	уже в	4	5
41	но не	6	5
42	при этом	4	5
43	может быть	20	5
44	и потому	5	5
45	в своей	8	5
46	с точки	8	5
47	и более	3	4
48	с другой	5	4
49	в жизни	2	4
50	и к	7	4
51	в себе	15	4
52	том что	10	4
53	но все	2	4
54	в своих	2	4
55	в этих	3	4
56	сих пор	2	4
57	до сих	2	4
58	не было	3	4
59	а в	4	4
60	мы находим	3	4
61	в области	2	4
62	тем что	2	4
63	с ним	4	4
64	но в	2	4
65	связана с	2	3
66	всех этих	3	3
67	с одной	2	3
68	о чем	3	3
69	в одном	4	3
70	человека и	2	3
71	на все	2	3
72	что он	6	3
73	же в	2	3
74	в ее	4	3
75	в том	14	3
76	да и	6	3
77	было бы	3	3
78	из них	3	3
79	несмотря на	2	3
80	в самом	5	3
81	даже в	3	3
82	раз в	2	3
83	с ее	2	3
84	ни в	10	3
85	другой стороны	4	3
86	и все	12	3
87	культуры и	2	3
88	и вот	4	3
89	к нему	4	3
90	также и	2	3
91	их в	2	3
92	и вообще	6	3
93	о том	5	3
94	и это	5	3
95	этих последних	2	3
96	мире и	2	3
97	в виду	5	3
98	смысла и	2	2
99	содержит в	4	2
100	в противоположность	2	2
101	связи с	4	2
102	сознания и	5	2
103	что в	7	2
104	могут быть	4	2
105	за пределы	4	2
106	нельзя сказать	4	2
107	в меру	4	2
108	понятно что	2	2
109	та же	4	2
110	и образы	2	2
111	как известно	2	2
112	в одну	5	2
113	в смысле	5	2
114	в тех	2	2
115	можно сказать	5	2
116	в целях	3	2
117	без всякого	4	2
118	это и	3	2
119	но это	7	2
120	эти два	2	2
121	что они	6	2
122	есть в	2	2
123	только то	4	2
124	ничего не	3	2
125	еще не	4	2
126	совершенно не	7	2
127	в ней	2	2
128	себе и	3	2
129	в мире	2	2
130	вместе с	2	2
131	ее в	2	2
132	в их	2	2
133	не во	2	2
134	смысл и	2	2
135	в связи	4	2
136	того как	2	2
137	форм и	2	2
138	на самом	2	2
139	и даже	14	2
140	и прежде	2	2
141	так же	2	2
142	жизнь и	5	2
143	во всяком	2	2
144	и следовательно	5	2
145	нуждается в	3	2
146	на его	2	2
147	в другом	4	2
148	во все	2	2
149	мы должны	2	2
150	в конце	2	2
151	на мир	2	2
152	всяком случае	2	2
