N	2gram	Vygotskiy__4	VelikijI
1	и не	13	20
2	и в	33	16
3	то что	44	9
4	так как	12	9
5	что они	6	7
6	и потому	2	7
7	а не	6	7
8	в мире	3	5
9	как бы	25	5
10	но и	3	5
11	все это	13	5
12	того что	4	5
13	и есть	4	4
14	что все	11	4
15	что он	20	4
16	в нем	7	4
17	как и	5	4
18	что мы	6	4
19	в котором	2	4
20	так и	3	4
21	что не	4	4
22	потому что	24	4
23	в этом	28	4
24	в ней	6	4
25	говорить о	3	4
26	и все	12	4
27	в его	10	4
28	с его	2	3
29	первый раз	4	3
30	что в	21	3
31	в них	2	3
32	в конце	8	3
33	в жизни	4	3
34	ни в	3	3
35	в том	21	3
36	не в	2	3
37	тот же	3	3
38	и мы	15	3
39	к тому	12	3
40	во всех	2	3
41	никогда не	5	3
42	то это	3	3
43	что и	3	3
44	жизни и	4	3
45	в своей	4	3
46	бы и	2	3
47	тому что	6	3
48	не было	3	3
49	и что	25	3
50	за то	3	3
51	не имеет	2	3
52	хотя бы	2	3
53	и для	3	3
54	должно быть	3	3
55	их в	3	3
56	от этого	3	3
57	в первый	3	3
58	все эти	6	3
59	но в	2	3
60	с тем	4	2
61	под конец	2	2
62	его и	2	2
63	на нас	4	2
64	это не	6	2
65	прежде всего	2	2
66	ее и	2	2
67	для нас	7	2
68	да и	3	2
69	том что	22	2
70	по которым	2	2
71	одна из	4	2
72	но не	3	2
73	конечно не	3	2
74	того чтобы	22	2
75	вместо того	2	2
76	вслед за	3	2
77	не только	7	2
78	все тот	2	2
79	один из	2	2
80	но мы	2	2
81	и т	6	2
82	не будет	4	2
83	нем нет	2	2
84	и за	3	2
85	ее в	4	2
86	не хотел	2	2
87	те которые	2	2
88	т д	2	2
89	а с	2	2
90	тем что	3	2
91	мы не	5	2
92	его не	2	2
93	а в	4	2
94	с ним	5	2
95	чтобы сделать	2	2
96	можно было	4	2
97	и то	2	2
98	только в	4	2
99	от этих	4	2
100	и это	5	2
101	во всяком	3	2
