N	2gram	Ircho_Kome_3	Marksizm
1	может быть	6	28
2	и в	22	19
3	как бы	3	19
4	и не	21	19
5	не может	3	18
6	точки зрения	4	17
7	то же	7	16
8	и его	6	16
9	как мы	2	15
10	в этом	8	15
11	таким образом	12	14
12	в сущности	2	14
13	не только	5	13
14	с точки	3	13
15	связи с	5	13
16	в нем	3	11
17	если бы	8	11
18	вовсе не	4	11
19	не в	4	10
20	в пределах	2	10
21	но и	4	10
22	том что	13	10
23	так и	4	10
24	при этом	7	9
25	в основе	2	9
26	как и	3	9
27	самом деле	6	9
28	а не	4	9
29	отнюдь не	4	8
30	же время	5	8
31	не является	4	8
32	по отношению	5	8
33	в то	6	8
34	с его	3	8
35	отношению к	3	8
36	никогда не	3	7
37	в связи	4	7
38	в том	12	7
39	его в	8	7
40	но в	5	7
41	прежде всего	5	7
42	и для	4	7
43	в таком	2	7
44	к тому	6	6
45	ни в	10	6
46	в свою	7	6
47	того чтобы	6	6
48	в самом	9	6
49	с помощью	4	6
50	ни было	2	6
51	же самое	3	6
52	и все	2	6
53	между тем	2	6
54	во всех	2	6
55	если мы	2	6
56	для того	6	6
57	хотя бы	4	6
58	мы можем	3	6
59	свою очередь	6	5
60	самого начала	4	5
61	то ни	3	5
62	к нему	5	5
63	в их	2	5
64	так же	4	5
65	и на	2	5
66	и здесь	4	5
67	к этому	6	5
68	того же	6	5
69	совершенно не	2	5
70	в его	8	5
71	все же	4	5
72	с самого	4	5
73	тем более	4	5
74	тому что	2	4
75	в отношении	4	4
76	это не	2	4
77	на то	3	4
78	то что	4	4
79	бы то	2	4
80	бы в	4	4
81	а как	2	4
82	как раз	6	4
83	следует что	3	4
84	что он	8	4
85	было бы	3	4
86	конечно не	3	4
87	этой связи	2	4
88	тем же	3	4
89	и ее	2	4
90	в себе	4	4
91	ничего не	3	4
92	в какой	3	3
93	столь же	3	3
94	с другой	4	3
95	в двух	3	3
96	для понимания	2	3
97	в этой	3	3
98	одной стороны	3	3
99	в ней	4	3
100	за пределы	2	3
101	в котором	2	3
102	а в	7	3
103	с этим	3	3
104	с одной	3	3
105	в другом	2	3
106	не имеет	3	3
107	не было	2	3
108	о том	8	3
109	так как	11	3
110	не как	2	3
111	в ее	3	3
112	в качестве	2	3
113	до сих	9	3
114	еще не	6	3
115	одной из	3	3
116	бы он	3	3
117	он не	5	3
118	что и	8	3
119	не будет	2	3
120	в своей	5	3
121	только что	7	3
122	с другими	2	3
123	во всяком	3	3
124	и это	2	3
125	отличие от	2	3
126	сих пор	9	3
127	уже в	2	2
128	все время	2	2
129	что в	5	2
130	не знает	3	2
131	как из	2	2
132	мы знаем	2	2
133	он был	4	2
134	тому же	6	2
135	которой мы	2	2
136	что они	2	2
137	до конца	4	2
138	о чем	7	2
139	не так	3	2
140	одним из	2	2
141	всяком случае	3	2
142	в своем	8	2
143	отношения к	2	2
144	и даже	3	2
145	друг друга	4	2
146	и с	4	2
147	он и	2	2
148	в начале	3	2
149	у него	4	2
150	стороны и	2	2
151	не с	2	2
152	и о	2	2
153	и особенно	2	2
154	должен быть	2	2
155	и речи	4	2
156	приводит к	3	2
157	бы не	2	2
158	что не	3	2
159	и он	2	2
160	между ними	2	2
161	мы не	2	2
162	тем что	5	2
163	является конечно	2	2
164	далеко не	3	2
165	если же	2	2
166	речи о	4	2
167	вместе с	9	2
