N	2gram	Nazirov_Tr_1	TeoriaLi
1	в мире	3	24
2	не только	8	18
3	и не	7	16
4	в частности	2	13
5	и в	18	13
6	может быть	7	12
7	так и	5	12
8	то есть	3	12
9	при этом	3	11
10	в этом	9	11
11	в том	2	11
12	и его	6	10
13	в его	3	9
14	то же	5	9
15	в душе	2	8
16	что в	4	8
17	своего рода	3	8
18	но и	4	8
19	в себе	4	7
20	том что	4	7
21	в отличие	2	7
22	в данном	2	7
23	в то	5	7
24	как это	3	7
25	отличие от	2	7
26	с его	2	6
27	же время	6	6
28	еще не	4	6
29	как бы	7	6
30	но в	6	6
31	в своем	3	5
32	в ее	2	5
33	как и	5	5
34	не в	2	5
35	в самом	2	5
36	в нем	4	5
37	данном случае	2	5
38	как в	3	5
39	он не	2	5
40	уже не	2	5
41	тем самым	3	5
42	не случайно	2	5
43	личности и	2	4
44	в ходе	2	4
45	ни в	2	4
46	то что	4	4
47	отношение к	2	4
48	не может	5	4
49	и ее	2	4
50	перед нами	2	3
51	никогда не	2	3
52	прежде всего	4	3
53	для него	3	3
54	и сам	3	3
55	мог бы	3	3
56	с ее	3	3
57	и что	4	3
58	и то	2	3
59	потому что	2	3
60	на меня	2	3
61	в этой	4	3
62	его в	2	3
63	все эти	3	3
64	я не	4	2
65	о чем	3	2
66	в конце	3	2
67	это не	5	2
68	что он	6	2
69	к тому	2	2
70	об этом	4	2
71	и как	3	2
72	дома и	2	2
73	в глаза	2	2
74	к области	2	2
75	к жизни	5	2
76	времени в	2	2
77	к нему	3	2
78	как говорит	2	2
79	в целом	4	2
80	в романе	10	2
81	в году	9	2
82	говорит что	2	2
83	и даже	4	2
84	поведение в	2	2
85	так же	4	2
86	в рассказе	2	2
87	у него	6	2
88	и здесь	2	2
89	как будто	3	2
90	о том	2	2
91	и это	2	2
92	имеет в	2	2
