N	2gram	Nazirov_Tv_1	FransuaR
1	и в	21	40
2	то есть	12	18
3	и его	6	17
4	прежде всего	4	16
5	в романе	10	15
6	в этом	6	15
7	не только	7	13
8	и не	7	13
9	в его	13	13
10	что в	12	12
11	вовсе не	5	12
12	как и	12	11
13	но и	3	11
14	таким образом	5	10
15	и все	6	9
16	может быть	5	9
17	он не	8	9
18	в том	7	8
19	у него	7	8
20	и с	3	8
21	той же	3	8
22	и на	7	8
23	но в	7	8
24	в своем	4	7
25	в духе	2	7
26	на площади	2	7
27	ту эпоху	2	7
28	в ту	3	7
29	то же	13	7
30	в виду	2	7
31	в этих	2	6
32	к этому	2	6
33	же время	12	6
34	в образах	2	6
35	в самом	3	6
36	в своей	4	6
37	и других	3	6
38	в то	15	6
39	до конца	2	6
40	он говорит	3	6
41	в литературе	2	5
42	в году	7	5
43	со всеми	3	5
44	в нем	3	5
45	то что	8	5
46	а не	5	5
47	в основе	2	5
48	в своих	5	5
49	так сказать	2	5
50	для него	6	5
51	xix века	6	4
52	том что	11	4
53	в ней	2	4
54	в основном	4	4
55	из них	2	4
56	даже в	3	4
57	один из	4	4
58	в мире	4	4
59	жизни и	3	4
60	в их	3	4
61	все это	10	4
62	еще более	2	4
63	только на	2	4
64	о том	6	4
65	в данном	2	4
66	и даже	3	4
67	из всех	4	4
68	так как	3	4
69	с его	11	3
70	в частности	2	3
71	и от	4	3
72	об этом	2	3
73	но это	5	3
74	в этой	5	3
75	одна из	2	3
76	как бы	17	3
77	еще в	2	3
78	и наконец	2	3
79	что и	2	3
80	вместе с	2	3
81	дело не	3	3
82	так и	2	3
83	как в	8	3
84	во всей	2	3
85	не может	4	3
86	а в	6	3
87	на самом	3	3
88	мы находим	2	3
89	самом деле	2	3
90	и как	4	3
91	не так	3	3
92	для этой	2	3
93	связан с	3	3
94	сказать что	2	3
95	при этом	7	3
96	же и	2	3
97	в отличие	2	3
98	в себе	2	3
99	только в	5	3
100	на протяжении	3	3
101	отличие от	2	3
102	не менее	6	2
103	уже в	3	2
104	времени и	4	2
105	не был	3	2
106	представление о	3	2
107	в книге	3	2
108	хотя бы	5	2
109	с другой	3	2
110	это не	4	2
111	больше чем	2	2
112	одного из	2	2
113	это в	3	2
114	что он	6	2
115	можно сказать	2	2
116	влияние на	2	2
117	все же	5	2
118	это и	3	2
119	в дальнейшем	3	2
120	но не	3	2
121	и другие	3	2
122	в первой	2	2
123	на его	3	2
124	по преимуществу	2	2
125	свидетельствует о	2	2
126	страдания и	2	2
127	одним из	4	2
128	в котором	6	2
129	к жизни	2	2
130	здесь нет	2	2
131	этой книги	3	2
132	дело в	3	2
133	в целом	4	2
134	своего рода	4	2
135	данном случае	2	2
136	жизни с	2	2
137	который в	3	2
138	в нашей	2	2
139	и далее	2	2
140	именно в	2	2
141	одновременно и	2	2
142	здесь мы	2	2
143	и у	2	2
144	что для	2	2
145	потому что	5	2
146	одной из	4	2
147	но он	2	2
148	в один	2	2
149	далеко не	3	2
150	площади и	2	2
151	в которой	3	2
152	того же	2	2
153	говорит об	2	2
