N	3gram	Tiupa_Disk_1	Problema
1	о том что	5	14
2	по крайней мере	2	6
3	в данном случае	2	5
4	то же самое	2	5
5	с одной стороны	9	5
6	с другой стороны	3	5
7	более или менее	2	4
8	не говоря уже	2	4
9	пока еще не	3	4
10	только в том	2	4
11	в то же	3	4
12	тот или иной	2	4
13	в том что	13	4
14	говоря уже о	2	4
15	одной стороны и	2	3
16	можно сказать что	2	3
17	не может быть	3	3
18	в том числе	2	2
19	том числе и	2	2
20	том что в	2	2
21	не только в	2	2
22	сами по себе	2	2
23	в частности в	2	2
24	подобно тому как	2	2
25	то есть в	2	2
