N	2gram	Propp_Morf_1	Literetu
1	а не	11	20
2	и в	13	19
3	может быть	52	17
4	то же	7	12
5	и не	12	11
6	в том	6	10
7	как и	3	10
8	но и	4	10
9	состоит в	2	9
10	не может	14	9
11	тогда как	2	9
12	в этом	14	9
13	в то	3	9
14	с другой	8	8
15	не только	4	8
16	том что	4	7
17	то что	8	7
18	так и	6	7
19	не менее	5	6
20	однако в	2	6
21	у нас	2	5
22	одна из	4	5
23	но не	4	5
24	в качестве	5	5
25	он не	3	5
26	того что	3	5
27	что в	8	4
28	в частности	2	4
29	прежде всего	9	4
30	не в	3	4
31	один из	5	4
32	другой стороны	4	4
33	мы не	8	4
34	по отношению	4	4
35	тем что	4	4
36	точки зрения	2	4
37	что он	4	3
38	по существу	12	3
39	и как	5	3
40	но это	6	3
41	в начале	3	3
42	в этой	2	3
43	в сущности	3	3
44	во всех	4	3
45	и др	10	3
46	не с	2	3
47	отношению к	4	3
48	со стороны	3	3
49	и для	2	3
50	так как	16	3
51	с точки	2	3
52	право на	2	3
53	а в	7	3
54	в другом	2	3
55	ничего не	4	3
56	на этом	3	2
57	в бою	2	2
58	ни было	2	2
59	с тем	2	2
60	себя и	2	2
61	в нашем	3	2
62	не является	3	2
63	в какой	3	2
64	все еще	3	2
65	вовсе не	4	2
66	как уже	2	2
67	и к	4	2
68	а также	4	2
69	для нас	2	2
70	этом случае	8	2
71	а затем	4	2
72	тем не	5	2
73	еще не	3	2
74	было бы	3	2
75	не по	2	2
76	как бы	3	2
77	в свое	2	2
78	если в	5	2
79	что и	7	2
80	все же	7	2
81	и т	41	2
82	же в	2	2
83	в целом	3	2
84	из них	3	2
85	могут быть	16	2
86	то как	2	2
87	и за	2	2
88	уже не	2	2
89	путь к	2	2
90	и что	2	2
91	героя в	4	2
92	для того	2	2
93	из которых	3	2
94	хотя бы	4	2
95	и иных	2	2
96	друг друга	3	2
97	то с	2	2
98	то в	3	2
99	в результате	7	2
100	потому что	3	2
101	подобно тому	6	2
102	но как	2	2
103	ту же	2	2
104	о том	2	2
105	в россии	2	2
106	представляет собой	17	2
107	тому как	5	2
108	а если	4	2
109	как это	3	2
110	но в	2	2
