N	2gram	Savitsky_E_1	Sotsiolo
1	в том	11	5
2	в этом	12	5
3	не в	5	3
4	как же	2	3
5	для нас	4	3
6	и только	3	3
7	в его	2	3
8	более чем	2	3
9	и в	37	3
10	не только	18	3
11	было бы	8	2
12	как будто	2	2
13	только в	9	2
14	и мы	3	2
15	таким образом	2	2
16	том что	6	2
17	далеко не	2	2
18	то же	15	2
19	то что	6	2
20	главным образом	2	2
21	тем более	4	2
22	может быть	6	2
23	в результате	3	2
24	в частности	5	2
25	и что	2	2
26	но и	14	2
27	очевидно что	3	2
28	в смысле	9	2
29	как бы	6	2
30	должна быть	2	2
31	что в	21	2
