N	2gram	Losev_Vlad_2	VrazhdaK
1	в году	24	18
2	не только	12	9
3	в этом	20	8
4	и что	5	8
5	и в	30	8
6	года в	6	7
7	но и	8	7
8	что в	12	7
9	то что	20	7
10	и все	7	7
11	в котором	5	6
12	в нем	4	6
13	все же	9	6
14	и даже	10	6
15	как и	5	6
16	в начале	4	6
17	но в	8	6
18	и с	14	6
19	о нем	2	6
20	александра ii	2	5
21	то же	4	5
22	не было	10	5
23	и не	18	5
24	у него	19	5
25	об этом	6	5
26	в письме	8	5
27	в то	9	5
28	же время	3	5
29	в россии	3	5
30	уже в	3	4
31	для нас	7	4
32	у достоевского	2	4
33	как бы	5	4
34	все это	5	4
35	это не	2	4
36	летом года	6	4
37	в вестнике	2	4
38	что он	13	4
39	вестнике европы	2	4
40	так же	4	4
41	с ним	5	4
42	в своих	2	4
43	может быть	7	4
44	при этом	5	4
45	письме к	4	4
46	несмотря на	4	4
47	о том	4	4
48	в ней	4	4
49	в виду	2	4
50	я не	4	3
51	с его	4	3
52	связи с	8	3
53	в петербург	5	3
54	который был	2	3
55	в своем	8	3
56	я хотел	2	3
57	и во	2	3
58	в связи	8	3
59	в конце	13	3
60	к этому	6	3
61	на то	2	3
62	в те	4	3
63	он был	6	3
64	в том	18	3
65	и его	6	3
66	том что	12	3
67	и как	3	3
68	марта года	4	3
69	в его	11	3
70	его в	4	3
71	наряду с	2	3
72	но он	3	3
73	года он	10	3
74	в париже	6	3
75	и о	4	3
76	в чем	2	3
77	он не	4	3
78	в январе	2	3
79	в эти	7	2
80	после смерти	4	2
81	он сам	2	2
82	в своей	5	2
83	и это	3	2
84	не менее	7	2
85	никогда не	7	2
86	вместе с	8	2
87	европы №	3	2
88	его и	2	2
89	в них	3	2
90	он пишет	2	2
91	не может	9	2
92	а в	11	2
93	отношения к	3	2
94	таким образом	3	2
95	в ноябре	2	2
96	начиная с	2	2
97	это в	3	2
98	эти годы	4	2
99	но это	4	2
100	там же	12	2
101	в той	2	2
102	уже не	3	2
103	на первый	2	2
104	с которым	2	2
105	не мог	8	2
106	и он	4	2
107	мы знаем	4	2
108	с точки	3	2
109	же в	2	2
110	мая года	2	2
111	тем более	3	2
112	в этой	4	2
113	что я	3	2
114	и то	5	2
115	их в	2	2
116	а н	14	2
117	точки зрения	7	2
118	в свою	3	2
119	в себе	6	2
120	отношение к	4	2
121	для него	9	2
122	в это	4	2
123	о чем	6	2
124	м м	4	2
125	его на	3	2
126	письмо к	2	2
127	том же	3	2
128	а также	10	2
