N	2gram	Medvedev_V_1	Marksizm
1	может быть	22	28
2	и в	26	19
3	как бы	5	19
4	и не	19	19
5	не может	17	18
6	в процессе	16	18
7	точки зрения	3	17
8	то же	10	16
9	и его	6	16
10	в этом	26	15
11	таким образом	31	14
12	лишь в	2	14
13	так сказать	2	14
14	не только	25	13
15	связи с	4	13
16	в нем	6	11
17	если бы	3	11
18	вовсе не	3	11
19	не в	6	10
20	в пределах	5	10
21	но и	10	10
22	том что	8	10
23	так и	5	10
24	для него	8	9
25	как и	7	9
26	а не	7	9
27	отнюдь не	3	8
28	же время	5	8
29	не является	5	8
30	по отношению	7	8
31	в то	6	8
32	с его	3	8
33	отношению к	7	8
34	только в	7	8
35	никогда не	4	7
36	в связи	3	7
37	в том	15	7
38	его в	3	7
39	но в	2	7
40	прежде всего	13	7
41	одна из	4	7
42	и для	2	7
43	к тому	4	6
44	и как	3	6
45	того чтобы	3	6
46	в самом	4	6
47	же самое	2	6
48	между тем	5	6
49	во всех	6	6
50	для того	3	6
51	хотя бы	19	6
52	или иной	2	5
53	является не	4	5
54	смысле слова	2	5
55	в форме	3	5
56	в их	5	5
57	так же	3	5
58	к этому	9	5
59	в его	14	5
60	все же	5	5
61	тому что	6	4
62	это не	7	4
63	то что	6	4
64	мы видели	3	4
65	и их	3	4
66	того что	3	4
67	с ними	4	4
68	сказать что	5	4
69	бы в	3	4
70	а как	2	4
71	в единстве	4	4
72	как раз	3	4
73	что он	4	4
74	было бы	7	4
75	точном смысле	2	4
76	в основном	5	4
77	в точном	2	4
78	в слове	3	4
79	и ее	4	4
80	в себе	6	4
81	перед нами	4	3
82	с другой	11	3
83	и от	3	3
84	как целого	3	3
85	в этой	4	3
86	одной стороны	2	3
87	в ней	2	3
88	в котором	3	3
89	а в	3	3
90	с этим	3	3
91	с одной	2	3
92	что оно	3	3
93	все эти	6	3
94	в другом	2	3
95	должно быть	2	3
96	и формы	2	3
97	чем же	4	3
98	не было	7	3
99	о том	10	3
100	для его	4	3
101	по себе	2	3
102	в различных	2	3
103	в ее	4	3
104	у нас	2	3
105	в качестве	11	3
106	еще не	2	3
107	он не	2	3
108	относится к	2	3
109	что и	3	3
110	в своей	4	3
111	только что	4	3
112	на основе	5	3
113	с другими	2	3
114	могут быть	5	3
115	связана с	2	2
116	что в	10	2
117	формы и	2	2
118	в противном	2	2
119	оно является	2	2
120	как процесс	2	2
121	мы знаем	3	2
122	что они	3	2
123	более или	6	2
124	как о	2	2
125	такое понимание	2	2
126	о чем	2	2
127	и у	2	2
128	идеологического творчества	2	2
129	одним из	5	2
130	и непосредственно	2	2
131	в зависимости	6	2
132	жизни и	3	2
133	в своем	8	2
134	восприятия и	2	2
135	в особенности	2	2
136	именно в	2	2
137	они не	2	2
138	в системе	2	2
139	и даже	2	2
140	как на	3	2
141	им как	2	2
142	не следует	8	2
143	но для	2	2
144	по крайней	2	2
145	даже и	3	2
146	он и	2	2
147	к его	2	2
148	но как	3	2
149	противном случае	2	2
150	того или	2	2
151	у него	6	2
152	в жизни	2	2
153	стороны и	2	2
154	зависимости от	5	2
155	но не	2	2
156	ли это	2	2
157	и потому	2	2
158	должен быть	4	2
159	крайней мере	2	2
160	или менее	6	2
161	приводит к	5	2
162	бы не	2	2
163	сводится к	3	2
164	в значительной	3	2
165	что не	3	2
166	должны быть	2	2
167	и он	2	2
168	между ними	3	2
169	или в	3	2
170	как от	2	2
171	все его	2	2
172	далеко не	2	2
173	только с	2	2
174	вместе с	7	2
