N	2gram	Berdyaev_M_1	EvropaiE
1	и в	28	37
2	точки зрения	4	23
3	что в	10	21
4	не только	29	18
5	в то	2	16
6	хотя бы	3	15
7	отношении к	2	15
8	в своем	10	14
9	но и	25	14
10	и не	11	14
11	но в	7	14
12	в этом	20	12
13	в их	4	11
14	в том	6	11
15	прежде всего	10	9
16	не может	28	9
17	т е	2	9
18	в себе	7	9
19	только в	6	9
20	к тому	3	8
21	в ее	3	8
22	было бы	10	8
23	в своей	15	8
24	как и	5	7
25	по своему	2	7
26	того что	7	7
27	также и	2	7
28	так как	3	7
29	с этой	4	6
30	том что	3	6
31	может быть	30	6
32	для того	2	6
33	как бы	2	6
34	то что	5	6
35	того чтобы	2	6
36	и на	6	6
37	то есть	3	6
38	не в	16	5
39	но не	8	5
40	но если	3	5
41	в той	2	5
42	и по	4	5
43	от этого	2	5
44	в россии	2	5
45	и потому	10	5
46	вопрос о	2	4
47	на путях	3	4
48	чем в	2	4
49	в самом	11	4
50	в ней	15	4
51	к ней	4	4
52	для нас	3	4
53	не имеет	3	4
54	сказать что	2	4
55	в каком	2	4
56	место в	2	3
57	и к	2	3
58	с тем	9	3
59	на своем	3	3
60	никогда не	14	3
61	жизни в	2	3
62	в них	4	3
63	вообще не	2	3
64	и от	2	3
65	о россии	2	3
66	в свою	2	3
67	связано с	2	3
68	и мы	2	3
69	что и	4	3
70	когда он	3	3
71	бы и	3	3
72	заключает в	3	3
73	как в	2	3
74	и для	2	3
75	в которых	4	3
76	потому что	16	3
77	тем что	4	3
78	о том	2	3
79	мира и	5	3
80	он сам	6	2
81	не могут	5	2
82	для них	3	2
83	а не	25	2
84	в этих	4	2
85	по сравнению	2	2
86	и во	2	2
87	с этим	3	2
88	мира не	3	2
89	и все	10	2
90	к нему	7	2
91	есть не	4	2
92	и как	2	2
93	это значит	3	2
94	должна быть	6	2
95	во власти	2	2
96	она не	4	2
97	не к	4	2
98	он не	24	2
99	в его	9	2
100	мог бы	4	2
101	и этот	4	2
102	в котором	8	2
103	не есть	9	2
104	в мире	10	2
105	только одно	3	2
106	жизни и	2	2
107	вместе с	6	2
108	всего в	2	2
109	а в	4	2
110	если бы	2	2
111	и что	2	2
112	на этот	2	2
113	духовной жизни	3	2
114	этот процесс	3	2
115	тому чтобы	2	2
116	мы видим	2	2
117	и с	3	2
118	могут быть	2	2
119	долгое время	2	2
120	и еще	3	2
121	в этой	6	2
122	по своей	2	2
123	в истории	2	2
124	как будто	2	2
125	бы в	2	2
126	начало в	2	2
127	проблемы и	2	2
