N	2gram	Tiupa_Vved_1	Psycholo
1	и в	13	38
2	то что	6	35
3	в том	10	25
4	в самом	2	25
5	самом деле	3	21
6	что в	3	20
7	может быть	18	19
8	в ней	4	15
9	то есть	8	15
10	если бы	7	14
11	том что	7	14
12	как бы	4	14
13	потому что	5	14
14	в этом	21	13
15	было бы	4	12
16	не только	20	12
17	таким образом	4	12
18	не в	6	12
19	то же	5	10
20	и не	12	10
21	и все	4	10
22	все же	6	8
23	перед нами	6	8
24	для нас	2	8
25	как и	11	8
26	как раз	2	8
27	с другой	5	7
28	а не	15	7
29	мы можем	2	7
30	никак не	2	7
31	не может	7	7
32	как мы	3	7
33	может служить	4	7
34	а в	6	7
35	к тому	6	6
36	мы видели	2	6
37	один из	3	6
38	в котором	8	6
39	не имеет	2	6
40	он не	3	6
41	с одной	5	6
42	и его	5	6
43	и на	3	6
44	о том	5	6
45	должна быть	2	5
46	в своем	5	5
47	в какой	4	5
48	одной стороны	5	5
49	иначе говоря	6	5
50	в своей	5	5
51	но и	19	5
52	другой стороны	2	5
53	в той	4	5
54	действующих лиц	2	5
55	мы не	4	5
56	о котором	2	5
57	в его	4	5
58	так сказать	2	5
59	никогда не	4	4
60	обратиться к	2	4
61	в свою	4	4
62	по своему	2	4
63	при этом	26	4
64	не можем	2	4
65	и для	3	4
66	во всех	2	4
67	она была	2	4
68	в нем	5	4
69	что и	2	4
70	в целом	3	4
71	как в	4	4
72	того что	6	4
73	когда в	2	4
74	в своих	2	4
75	только в	6	4
76	как будто	4	4
77	одна из	4	4
78	в себе	5	4
79	место в	2	3
80	ее не	2	3
81	в них	2	3
82	в речи	2	3
83	из этих	3	3
84	к этому	2	3
85	и к	2	3
86	но это	3	3
87	наряду с	2	3
88	в основе	3	3
89	не к	4	3
90	то и	2	3
91	это только	2	3
92	бы не	2	3
93	к ним	2	3
94	и тем	2	3
95	тем что	2	3
96	состоит в	10	3
97	далеко не	4	3
98	в то	4	3
99	бы в	3	3
100	могла бы	3	3
101	рассказ в	2	3
102	здесь не	2	3
103	едва ли	3	3
104	но в	6	3
105	одного из	3	2
106	в данном	13	2
107	но они	2	2
108	и более	3	2
109	в этих	3	2
110	действующее лицо	2	2
111	отнюдь не	7	2
112	все они	2	2
113	между собой	2	2
114	на самом	4	2
115	или не	2	2
116	до конца	3	2
117	уже не	5	2
118	в силу	2	2
119	есть в	2	2
120	свою очередь	4	2
121	внимание к	2	2
122	для него	3	2
123	ли это	2	2
124	том как	3	2
125	например в	2	2
126	данном случае	6	2
127	со стороны	5	2
128	имеет место	4	2
129	что же	3	2
130	по выражению	2	2
131	внимание на	3	2
132	целый ряд	2	2
133	в одной	2	2
134	а с	2	2
135	должны были	2	2
136	быть не	4	2
137	и наконец	2	2
138	и по	3	2
139	в качестве	8	2
140	их в	2	2
141	к его	3	2
142	представляет собой	15	2
143	представляют собой	3	2
144	однако и	2	2
145	с ним	3	2
146	могло бы	3	2
