N	2gram	Losev_Dial_2	Psycholo
1	то что	14	32
2	и в	19	31
3	в том	14	30
4	и т	17	26
5	что в	7	23
6	может быть	20	22
7	таким образом	4	20
8	ясно что	4	19
9	при этом	4	19
10	так как	14	18
11	не может	9	17
12	как и	10	16
13	том что	10	16
14	и не	30	16
15	т п	2	16
16	точки зрения	12	15
17	только в	5	14
18	а не	16	13
19	не только	19	13
20	что и	5	13
21	так же	2	12
22	если мы	2	12
23	в этом	8	12
24	в самом	5	11
25	могут быть	4	11
26	не в	8	11
27	в области	2	11
28	в сущности	2	10
29	того что	6	10
30	потому что	14	10
31	по себе	18	9
32	ни в	10	9
33	как в	2	9
34	самом деле	4	9
35	никогда не	9	8
36	вместе с	2	8
37	все это	4	8
38	т д	15	8
39	и что	5	8
40	во всяком	2	8
41	что мы	2	8
42	что он	6	7
43	есть в	2	7
44	только тогда	7	7
45	и его	5	7
46	заключается в	4	7
47	сказать что	10	7
48	о том	5	7
49	что это	10	6
50	вовсе не	13	6
51	зависимости от	2	6
52	очевидно что	2	6
53	было бы	3	6
54	всяком случае	2	6
55	отнюдь не	6	6
56	а в	4	6
57	что она	14	6
58	и даже	14	6
59	и есть	4	5
60	само по	2	5
61	и все	12	5
62	тогда когда	6	5
63	в ее	4	5
64	все же	4	5
65	так что	7	5
66	мы видим	2	5
67	с одной	2	5
68	то время	4	5
69	она не	8	5
70	несмотря на	2	5
71	совершенно не	7	5
72	в какой	2	5
73	как бы	14	5
74	в зависимости	2	5
75	другой стороны	4	5
76	то же	12	5
77	с другой	5	5
78	время как	7	5
79	это есть	8	5
80	и совершенно	2	5
81	в то	6	5
82	как будто	7	5
83	к тому	2	4
84	в которой	2	4
85	все время	3	4
86	в виду	5	4
87	прежде всего	8	4
88	тому что	2	4
89	как нельзя	2	4
90	в себе	15	4
91	что я	2	4
92	же как	3	4
93	и если	4	4
94	в этих	3	4
95	искусство и	3	4
96	в своих	2	4
97	в результате	2	4
98	в искусстве	2	4
99	между тем	2	4
100	как это	7	4
101	мы имеем	3	4
102	уже в	4	3
103	не могут	4	3
104	с тем	2	3
105	только не	2	3
106	в частности	2	3
107	в своем	4	3
108	что у	2	3
109	в состоянии	2	3
110	та же	4	3
111	у пушкина	2	3
112	в каждом	2	3
113	должна быть	5	3
114	вопрос о	3	3
115	а потому	2	3
116	и к	7	3
117	что на	2	3
118	это и	3	3
119	но это	7	3
120	в силу	5	3
121	не будет	2	3
122	но не	6	3
123	до сих	2	3
124	например в	2	3
125	нет никакой	4	3
126	в этой	3	3
127	он не	4	3
128	и когда	4	3
129	себе не	3	3
130	но мы	2	3
131	сих пор	2	3
132	не есть	47	3
133	жизни и	6	3
134	в своей	8	3
135	так и	10	3
136	разница между	2	3
137	не было	3	3
138	что оно	4	3
139	от того	4	3
140	и вот	4	3
141	но только	3	3
142	должны быть	3	3
143	тем же	2	3
144	и по	4	3
145	в таком	4	3
146	в одной	4	3
147	и только	4	3
148	с этим	3	3
149	нуждается в	3	3
150	у меня	3	3
151	в конце	2	3
152	что эти	2	3
153	и это	5	3
154	это все	2	3
155	когда мы	3	3
156	что по	2	3
157	но в	2	3
158	т е	30	3
159	не менее	3	2
160	или иное	4	2
161	сама по	7	2
162	уже и	2	2
163	независимо от	4	2
164	тем или	2	2
165	если она	2	2
166	можно ли	3	2
167	и как	10	2
168	и от	3	2
169	человека и	2	2
170	в жизни	2	2
171	с ним	4	2
172	быть в	4	2
173	есть не	7	2
174	когда оно	2	2
175	а только	3	2
176	оно есть	3	2
177	или не	2	2
178	тем не	2	2
179	уже не	3	2
180	есть ли	5	2
181	и потому	5	2
182	только о	2	2
183	что они	6	2
184	более или	2	2
185	что здесь	2	2
186	есть нечто	8	2
187	но что	7	2
188	это мы	2	2
189	что с	2	2
190	или иным	2	2
191	и может	6	2
192	о чем	3	2
193	что такое	3	2
194	во внимание	3	2
195	и их	3	2
196	и следовательно	5	2
197	тех или	2	2
198	даже в	3	2
199	в нем	10	2
200	из них	3	2
201	но и	12	2
202	или менее	2	2
203	без всякого	4	2
204	что же	2	2
205	и тогда	3	2
206	как мы	3	2
207	только что	5	2
208	как раз	5	2
209	что есть	2	2
210	в связи	4	2
211	что всякая	3	2
212	в голове	2	2
213	же самое	2	2
214	на самом	2	2
215	в науке	2	2
216	к нему	4	2
217	есть только	4	2
218	с точки	8	2
219	то или	4	2
220	его не	2	2
221	в чем	3	2
222	ничего не	3	2
223	как они	3	2
224	их в	2	2
225	бы ни	2	2
226	и с	5	2
227	одно из	4	2
228	в каком	4	2
229	мы получаем	2	2
230	не быть	2	2
231	бы и	2	2
232	но как	5	2
233	и то	7	2
234	это только	3	2
235	в поэзии	7	2
236	будто бы	3	2
237	его в	3	2
238	как он	4	2
239	таком случае	3	2
240	только то	4	2
241	поэзии и	4	2
242	не то	5	2
243	в одном	4	2
244	стало быть	10	2
245	или как	3	2
