N	2gram	Bakhtin_Fr_2	Problema
1	то есть	32	39
2	то что	6	38
3	и не	15	37
4	вовсе не	10	37
5	и в	49	35
6	сказать что	6	24
7	не только	17	24
8	том что	4	19
9	даже и	2	18
10	о том	3	18
11	может быть	5	18
12	в этом	15	17
13	но и	13	16
14	и вообще	3	16
15	такого рода	2	15
16	только в	13	14
17	во всяком	2	13
18	не может	7	13
19	в том	3	12
20	также и	3	12
21	что в	2	11
22	прежде всего	19	11
23	и даже	2	11
24	всяком случае	2	10
25	и с	6	10
26	еще не	2	10
27	да и	3	10
28	ничего не	2	10
29	в этой	10	9
30	было бы	3	8
31	в виду	3	8
32	все же	7	8
33	в конце	2	7
34	все эти	7	7
35	в его	18	7
36	так и	6	7
37	так как	6	7
38	с другой	4	6
39	другими словами	3	6
40	можно сказать	2	6
41	ни в	3	6
42	но это	2	6
43	о чем	3	6
44	в то	6	6
45	на то	2	6
46	относится к	5	6
47	мы можем	2	6
48	но в	4	6
49	и вовсе	2	6
50	в области	4	6
51	и без	2	5
52	в самом	3	5
53	в связи	2	5
54	с одной	3	5
55	так же	2	5
56	и на	17	5
57	и более	4	5
58	и все	3	5
59	как и	11	5
60	связи с	2	5
61	то же	7	5
62	как мы	7	5
63	одной стороны	3	5
64	другой стороны	3	5
65	можно было	3	5
66	в себе	4	5
67	и это	3	5
68	не был	3	4
69	в этих	4	4
70	в своем	5	4
71	в отношении	2	4
72	без всякого	2	4
73	есть в	2	4
74	и следовательно	2	4
75	как бы	11	4
76	значение в	4	4
77	все это	9	4
78	таким образом	7	4
79	а в	4	4
80	и значение	2	4
81	их в	3	4
82	тем что	4	4
83	всех этих	3	4
84	что он	3	4
85	но не	5	4
86	до сих	4	4
87	тот же	5	4
88	но именно	3	4
89	и о	4	4
90	сих пор	4	4
91	на самом	2	4
92	далеко не	3	4
93	уже в	5	3
94	но даже	2	3
95	в нашем	2	3
96	из этих	5	3
97	что они	2	3
98	несмотря на	3	3
99	мы еще	2	3
100	хотя и	2	3
101	мы уже	6	3
102	никто не	2	3
103	один из	7	3
104	только то	2	3
105	в их	2	3
106	не было	4	3
107	при этом	5	3
108	лишь в	4	3
109	что для	3	3
110	в своих	4	3
111	в истории	6	3
112	мы должны	2	3
113	для них	2	3
114	как именно	2	3
115	перестает быть	2	3
116	что слово	2	3
117	и к	4	3
118	это и	2	3
119	одна из	4	3
120	нельзя было	3	3
121	все что	2	3
122	в значительной	3	3
123	мы здесь	2	3
124	тому как	2	3
125	не во	2	3
126	смысла и	2	2
127	до наших	2	2
128	содержит в	2	2
129	но все	4	2
130	по поводу	2	2
131	себе и	2	2
132	в него	2	2
133	и др	9	2
134	к нему	3	2
135	на этой	2	2
136	в понимании	2	2
137	даже в	3	2
138	как на	4	2
139	в ней	2	2
140	точки зрения	6	2
141	себе в	2	2
142	имеем в	2	2
143	во все	2	2
144	в плане	3	2
145	только с	3	2
146	сознания и	2	2
147	это в	2	2
148	в какой-то	2	2
149	в них	13	2
150	в условиях	2	2
151	учение о	2	2
152	в тех	2	2
153	в качестве	2	2
154	по преимуществу	2	2
155	еще в	2	2
156	и особенно	3	2
157	во всех	6	2
158	вместе с	2	2
159	и прежде	2	2
160	совершенно не	2	2
161	того чтобы	2	2
162	роль в	5	2
163	подобно тому	2	2
164	на эту	2	2
165	здесь не	2	2
