N	3gram	Potebnia_M_4	Problema
1	о том что	5	14
2	тем не менее	4	12
3	в таком случае	2	10
4	во всяком случае	3	10
5	в этом случае	5	7
6	и то что	4	7
7	и т д	3	6
8	по крайней мере	5	6
9	так или иначе	2	6
10	в данном случае	2	5
11	то же самое	4	5
12	не есть только	3	4
13	на то что	4	4
14	до тех пор	6	4
15	в языке и	3	4
16	только в том	2	4
17	до сих пор	4	4
18	в то же	3	4
19	в том что	7	4
20	и в этом	4	3
21	что иное как	2	3
22	бы не было	2	3
23	можно сказать что	4	3
24	хотя бы и	2	3
25	не что иное	2	3
26	только тогда когда	4	3
27	если бы не	2	3
28	не может быть	5	3
29	есть то что	2	2
30	для того чтобы	4	2
31	когда мы говорим	3	2
32	вопрос о том	2	2
33	и тот же	2	2
34	сами по себе	2	2
35	то что она	2	2
36	слова то есть	3	2
37	само по себе	5	2
38	не только не	3	2
39	можно было говорить	2	2
40	подобно тому как	2	2
41	один и тот	2	2
42	то есть в	2	2
43	в том случае	3	2
44	на самом деле	3	2
