N	2gram	Potebnia_M_4	Marksizm
1	точки зрения	4	34
2	может быть	26	26
3	и не	18	26
4	не может	11	24
5	с точки	3	20
6	и в	23	19
7	и его	2	19
8	таким образом	24	17
9	в этом	23	16
10	как бы	5	15
11	языка в	2	14
12	в процессе	3	14
13	языка и	3	13
14	как мы	2	13
15	как и	14	12
16	так и	6	11
17	если мы	2	11
18	и для	2	11
19	связи с	3	11
20	в самом	3	10
21	в нем	7	10
22	в слове	22	10
23	самом деле	3	10
24	для него	5	9
25	лишь в	3	9
26	только в	15	9
27	при этом	15	8
28	но и	11	8
29	о языке	2	8
30	друг друга	2	8
31	до сих	4	8
32	не только	10	8
33	то что	29	8
34	сих пор	4	8
35	в каждом	3	7
36	все эти	3	7
37	так же	4	7
38	но в	8	7
39	в ее	2	7
40	то же	14	7
41	а не	12	7
42	в смысле	3	6
43	в том	23	6
44	кроме того	3	6
45	в науке	3	6
46	и здесь	2	6
47	в его	5	6
48	мы не	8	6
49	так сказать	5	6
50	с другой	2	5
51	именно в	3	5
52	не в	11	5
53	конечно не	2	5
54	те же	3	5
55	и потому	10	5
56	гуманитарных наук	2	5
57	и все	4	5
58	вовсе не	7	5
59	настоящего времени	2	5
60	того чтобы	4	5
61	хотя бы	4	5
62	этот вопрос	3	5
63	во всяком	5	5
64	самого начала	2	4
65	что в	17	4
66	не менее	5	4
67	вопрос о	2	4
68	как же	4	4
69	в ней	2	4
70	от того	4	4
71	к одному	3	4
72	здесь мы	2	4
73	а в	5	4
74	и на	3	4
75	тот же	2	4
76	сказать что	8	4
77	что слово	10	4
78	с этим	7	4
79	по себе	11	4
80	еще не	3	4
81	было бы	8	4
82	и тот	3	4
83	язык есть	7	4
84	не будет	3	4
85	что же	5	4
86	как в	7	4
87	мысли и	7	4
88	только на	4	4
89	в языке	16	4
90	для того	6	4
91	между ними	4	4
92	переход от	3	4
93	в данном	4	4
94	и есть	3	3
95	а как	2	3
96	можно сказать	4	3
97	что делает	2	3
98	и как	2	3
99	в большинстве	2	3
100	же время	3	3
101	в котором	4	3
102	все это	5	3
103	по отношению	10	3
104	не было	12	3
105	того что	14	3
106	не имеет	5	3
107	с другими	4	3
108	от одного	3	3
109	между тем	9	3
110	в то	4	3
111	же самое	4	3
112	его в	4	3
113	нет ничего	3	3
114	большинстве случаев	2	3
115	слово в	4	3
116	не существует	2	3
117	не могут	2	3
118	в каком	4	3
119	и к	6	3
120	этом случае	5	3
121	том что	12	3
122	и при	2	3
123	для говорящего	3	3
124	мы должны	2	3
125	в сущности	2	3
126	он не	2	3
127	не есть	9	3
128	в первом	3	3
129	быть и	2	3
130	в истории	4	3
131	на самом	3	3
132	имеет свою	2	3
133	должны быть	3	3
134	и следовательно	3	3
135	на этот	2	3
136	эта последняя	2	3
137	один и	5	3
138	слова и	5	3
139	и это	2	3
140	в которой	6	3
141	в области	2	3
142	независимо от	6	2
143	никогда не	3	2
144	тому что	2	2
145	в своем	8	2
146	формы в	3	2
147	что все	4	2
148	его к	2	2
149	тем не	4	2
150	все в	2	2
151	как она	2	2
152	связь и	2	2
153	в свою	2	2
154	в действительности	3	2
155	в виду	3	2
156	всяком случае	3	2
157	и др	2	2
158	в нашем	2	2
159	и их	3	2
160	всех остальных	4	2
161	и только	3	2
162	и других	3	2
163	именно на	2	2
164	и даже	2	2
165	должно быть	5	2
166	можно было	2	2
167	языка с	3	2
168	в своих	2	2
169	из виду	2	2
170	допустим что	5	2
171	из этих	2	2
172	к его	2	2
173	о том	8	2
174	эта мысль	2	2
175	так как	14	2
176	бы в	2	2
177	мысли в	2	2
178	в сознании	4	2
179	и с	4	2
180	ни к	2	2
181	и более	4	2
182	по мере	7	2
183	если бы	13	2
184	и та	4	2
185	до тех	6	2
186	не как	2	2
187	что он	4	2
188	в себе	14	2
189	что язык	7	2
190	у нас	2	2
191	то в	3	2
192	от него	2	2
193	тех пор	6	2
194	она не	2	2
195	другими словами	8	2
196	есть лишь	2	2
197	мы уже	3	2
198	к тому	3	2
199	этого слова	7	2
200	пор пока	2	2
201	что и	7	2
202	отношению к	8	2
203	языке и	4	2
204	пока не	2	2
205	и относительно	2	2
206	бы и	5	2
207	и сама	2	2
208	и прежде	2	2
209	в двух	2	2
210	человека в	2	2
211	что не	6	2
212	из которых	2	2
213	что такое	7	2
214	лишь тогда	3	2
215	той же	3	2
216	говорящего и	2	2
217	в таком	4	2
218	или иначе	2	2
219	то мы	3	2
220	мы можем	10	2
221	тем что	10	2
222	могут быть	7	2
223	и вообще	2	2
224	ту же	3	2
225	как оно	2	2
226	таком случае	2	2
227	из этого	2	2
228	там где	3	2
229	из него	2	2
