N	2gram	Berdyaev_M_2	DiskursI
1	не только	18	28
2	в том	3	23
3	а не	13	22
4	том что	4	19
5	может быть	21	17
6	и в	46	16
7	как и	13	16
8	в этом	20	15
9	но и	15	14
10	прежде всего	12	11
11	и не	18	11
12	по своей	3	11
13	как в	7	10
14	в нем	22	9
15	отношению к	2	9
16	по отношению	2	9
17	не может	15	9
18	так и	4	8
19	о том	3	8
20	но в	10	8
21	в основе	2	7
22	в его	5	7
23	то же	5	7
24	не было	11	7
25	в себе	10	7
26	только в	3	7
27	не в	9	7
28	в своем	8	6
29	к тому	5	5
30	или иной	2	5
31	как бы	8	5
32	в своей	5	5
33	то что	5	5
34	во всех	2	5
35	а в	2	5
36	и на	3	5
37	с его	4	4
38	что в	4	4
39	в них	3	4
40	и к	7	4
41	что он	7	4
42	уже не	4	4
43	для него	18	4
44	связи с	2	4
45	на его	2	4
46	такого рода	2	4
47	отношение к	8	4
48	лишь в	2	4
49	что не	2	4
50	потому что	12	4
51	между тем	2	4
52	это не	5	3
53	по себе	2	3
54	что и	4	3
55	они и	4	3
56	в свою	4	3
57	в действительности	2	3
58	в самом	5	3
59	еще в	2	3
60	один из	5	3
61	хотя бы	7	3
62	на смену	3	3
63	того что	6	3
64	должны быть	4	3
65	ведет к	13	3
66	принадлежат к	3	3
67	в своих	3	3
68	сказать что	3	3
69	тем что	3	3
70	точки зрения	2	3
71	тому как	2	3
72	также и	4	3
73	и потому	7	3
74	и есть	8	2
75	никогда не	18	2
76	к себе	2	2
77	и во	3	2
78	и все	5	2
79	в каждом	3	2
80	не всегда	2	2
81	есть в	3	2
82	на этом	2	2
83	было в	3	2
84	не от	2	2
85	в сущности	2	2
86	хотя и	2	2
87	оно не	2	2
88	не есть	13	2
89	себя в	4	2
90	что же	2	2
91	жизни в	3	2
92	как к	2	2
93	отношения к	2	2
94	уже в	2	2
95	человека в	14	2
96	и что	2	2
97	более чем	2	2
98	и он	11	2
99	к другому	3	2
100	и его	5	2
101	подобно тому	2	2
102	к которому	3	2
103	в этой	7	2
104	они не	4	2
