N	2gram	Losev_Vlad_1	DiskursI
1	в качестве	6	34
2	не только	24	28
3	в том	11	23
4	то есть	3	20
5	том что	14	19
6	может быть	6	17
7	и в	31	16
8	как и	4	16
9	в этом	14	15
10	еще не	2	14
11	но и	19	14
12	при этом	2	13
13	но не	3	11
14	и не	17	11
15	по своей	4	11
16	с другой	3	10
17	как в	3	10
18	в частности	2	9
19	в нем	4	9
20	не может	6	9
21	а также	5	8
22	отнюдь не	3	8
23	так и	6	8
24	о том	11	8
25	но в	12	8
26	в его	12	7
27	со стороны	2	7
28	то же	6	7
29	не было	5	7
30	в себе	4	7
31	только в	9	7
32	не в	5	7
33	в своем	4	6
34	и как	4	6
35	пока еще	2	6
36	к тому	3	5
37	можно сказать	6	5
38	тому же	2	5
39	в котором	6	5
40	в своей	4	5
41	то что	18	5
42	а с	5	5
43	а в	9	5
44	и на	3	5
45	с его	11	4
46	что в	14	4
47	в них	2	4
48	для себя	2	4
49	и к	6	4
50	что он	12	4
51	уже не	3	4
52	для него	7	4
53	в истории	4	4
54	в целом	3	4
55	же время	4	4
56	одной из	2	4
57	на его	3	4
58	такого рода	4	4
59	и о	2	4
60	отношение к	3	4
61	по своим	3	4
62	в особенности	4	4
63	лишь в	2	4
64	потому что	11	4
65	во мне	2	3
66	того же	6	3
67	что и	5	3
68	по своему	3	3
69	в самом	2	3
70	еще в	4	3
71	один из	4	3
72	хотя бы	2	3
73	все же	3	3
74	из них	2	3
75	таким образом	3	3
76	того что	2	3
77	другой стороны	3	3
78	и даже	15	3
79	в своих	5	3
80	сказать что	7	3
81	тем что	2	3
82	точки зрения	2	3
83	в то	8	3
84	также и	10	3
85	и потому	6	3
86	разного рода	6	2
87	не менее	2	2
88	никогда не	9	2
89	о котором	2	2
90	же касается	4	2
91	к себе	2	2
92	и все	4	2
93	к этому	6	2
94	в году	30	2
95	в тех	2	2
96	тем кто	2	2
97	ему в	2	2
98	об этом	7	2
99	к его	3	2
100	но зато	2	2
101	более или	3	2
102	на этом	2	2
103	указывает на	2	2
104	так например	2	2
105	что с	2	2
106	своего времени	2	2
107	в начале	3	2
108	обратить внимание	2	2
109	одним из	2	2
110	хотя и	4	2
111	о нем	7	2
112	а по	2	2
113	себя в	4	2
114	когда он	5	2
115	дело не	2	2
116	или менее	3	2
117	что же	5	2
118	мысли и	4	2
119	за пределы	3	2
120	для своего	2	2
121	как к	2	2
122	уже в	7	2
123	как мы	9	2
124	и что	6	2
125	том чтобы	2	2
126	свидетельствует о	3	2
127	в науке	3	2
128	и он	3	2
129	времени в	2	2
130	и по	8	2
131	и его	7	2
132	во всяком	2	2
133	в момент	2	2
134	что касается	3	2
135	на себя	3	2
136	но как	5	2
137	и вообще	4	2
138	в этой	4	2
139	всей его	2	2
140	едва ли	3	2
141	особого рода	2	2
142	это было	6	2
