N	2gram	Vygotskiy__7	Problema
1	и в	26	44
2	вовсе не	2	37
3	и не	18	35
4	не есть	4	35
5	может быть	7	28
6	потому что	16	25
7	по себе	3	25
8	то что	24	23
9	в том	18	21
10	только в	8	19
11	а не	6	18
12	в этом	29	17
13	для нас	2	16
14	также и	2	16
15	сказать что	8	16
16	если мы	5	16
17	не только	24	14
18	и то	7	14
19	не в	4	13
20	то же	8	13
21	так что	4	12
22	но в	4	12
23	том что	17	12
24	не является	3	11
25	не менее	4	10
26	но и	11	10
27	в виду	5	10
28	у нас	2	10
29	как и	15	10
30	тем не	3	10
31	так и	3	10
32	это не	3	9
33	и от	4	9
34	и тем	6	9
35	в нем	2	9
36	не имеет	2	9
37	и с	5	9
38	же самое	5	9
39	как бы	6	9
40	так как	14	9
41	что он	8	9
42	в то	3	9
43	никак не	5	9
44	в его	4	9
45	что и	3	9
46	в данном	5	9
47	во всяком	2	9
48	таким образом	23	9
49	перед нами	2	8
50	что в	12	8
51	только и	3	8
52	ни в	2	8
53	того что	14	8
54	что мы	9	8
55	но это	3	8
56	было бы	6	8
57	он не	3	8
58	что же	2	8
59	как раз	3	8
60	как мы	14	8
61	в себе	9	8
62	связи с	4	8
63	с другой	4	7
64	вещи и	2	7
65	данном случае	5	7
66	не может	11	7
67	все эти	6	7
68	мы находим	3	7
69	и что	6	7
70	мы должны	6	7
71	с ним	3	7
72	это и	4	7
73	и потому	3	7
74	на самом	3	7
75	мы не	7	7
76	никогда не	4	6
77	для этого	3	6
78	можно сказать	5	6
79	но если	2	6
80	в целом	5	6
81	и только	4	6
82	но только	3	6
83	и к	7	6
84	о том	4	6
85	все же	6	6
86	мы можем	3	6
87	в нашем	4	5
88	в конце	4	5
89	что они	10	5
90	с тем	5	5
91	и есть	2	5
92	в ней	3	5
93	все это	3	5
94	то и	4	5
95	а в	2	5
96	точки зрения	28	5
97	и здесь	2	5
98	значение и	2	5
99	есть не	3	5
100	этом случае	14	5
101	еще не	4	5
102	и о	3	5
103	с ней	2	5
104	гораздо более	4	5
105	в своей	3	5
106	как в	4	5
107	так же	14	5
108	только на	3	5
109	тем самым	8	5
110	и его	12	5
111	этого слова	3	5
112	которое мы	2	5
113	едва ли	4	5
114	можно ли	2	4
115	тому что	9	4
116	мы могли	6	4
117	время как	2	4
118	совершенно не	2	4
119	отличается от	3	4
120	заключается в	6	4
121	есть только	2	4
122	и является	3	4
123	могли бы	5	4
124	то время	2	4
125	мы уже	3	4
126	мы в	3	4
127	в ее	6	4
128	в чем	3	4
129	или в	2	4
130	можно было	2	4
131	нас в	2	4
132	тем что	9	4
133	мы говорим	2	4
134	содержит в	3	3
135	уже в	2	3
136	же как	8	3
137	что это	6	3
138	что у	4	3
139	только о	2	3
140	точно так	2	3
141	прежде всего	7	3
142	есть то	3	3
143	на то	4	3
144	к тому	7	3
145	подобного рода	2	3
146	находим в	2	3
147	это есть	4	3
148	в этой	3	3
149	для него	3	3
150	случае не	2	3
151	в самом	9	3
152	которые мы	4	3
153	и значение	5	3
154	значение в	2	3
155	отношения к	2	3
156	но эта	2	3
157	и больше	2	3
158	что для	2	3
159	с этой	5	3
160	в которых	2	3
161	его в	2	3
162	с собой	3	3
163	если бы	5	3
164	выражается в	2	3
165	об этом	3	3
166	о которых	2	3
167	то в	2	3
168	но не	3	3
169	в качестве	5	3
170	одно и	3	3
171	она не	5	3
172	из этого	2	3
173	во всей	2	3
174	из того	3	3
175	в той	4	3
176	самом деле	6	3
177	отличие от	2	3
178	с другими	3	3
179	которой она	2	3
180	и ее	2	3
181	если же	2	3
182	слова и	10	3
183	есть в	3	3
184	ничего не	2	3
185	в известном	2	2
186	именно в	6	2
187	в этих	2	2
188	в отношении	2	2
189	никто не	2	2
190	само собой	2	2
191	но также	3	2
192	что все	2	2
193	этого термина	2	2
194	на одно	2	2
195	до сих	3	2
196	является не	2	2
197	такое что	3	2
198	о чем	4	2
199	нас к	6	2
200	и следовательно	5	2
201	тем же	5	2
202	в котором	4	2
203	с ее	2	2
204	друг от	2	2
205	и до	2	2
206	в их	2	2
207	за счет	2	2
208	с одной	5	2
209	что оно	4	2
210	этой точки	4	2
211	друга и	2	2
212	и по	3	2
213	друг друга	4	2
214	как на	6	2
215	что слово	2	2
216	нас и	2	2
217	в основе	3	2
218	с этим	2	2
219	в начале	5	2
220	с которыми	2	2
221	бы в	5	2
222	как это	5	2
223	в наших	4	2
224	гораздо больше	2	2
225	в самой	3	2
226	является в	5	2
227	нашего исследования	5	2
228	были бы	3	2
229	на котором	3	2
230	и во	4	2
231	о его	3	2
232	она может	2	2
233	мы видели	3	2
234	только потому	3	2
235	и при	2	2
236	по своему	9	2
237	что при	2	2
238	но именно	2	2
239	не содержат	2	2
240	от друга	2	2
241	мы говорили	2	2
242	во всех	6	2
243	в слове	11	2
244	мы ни	2	2
245	только к	2	2
246	для нее	3	2
247	для себя	24	2
248	по сравнению	9	2
249	и всей	2	2
250	в процессе	5	2
251	вместе с	12	2
252	сих пор	3	2
253	на основании	2	2
254	только что	5	2
255	слова как	5	2
256	в отличие	2	2
257	нами в	4	2
258	даже если	2	2
259	на ее	2	2
260	из которых	2	2
261	и для	5	2
262	с точки	21	2
263	почти всегда	2	2
264	мы и	2	2
265	но с	2	2
266	могут быть	2	2
267	как она	5	2
268	сравнению с	8	2
269	в которой	11	2
270	и состоит	3	2
