N	2gram	Bakhtin_fo_2	EvropaiE
1	и в	46	37
2	в отношении	2	32
3	в пределах	5	25
4	точки зрения	10	23
5	что в	5	21
6	не только	11	18
7	с точки	8	17
8	в то	5	16
9	то же	8	15
10	в своем	5	14
11	в качестве	3	14
12	же время	4	14
13	но и	9	14
14	и не	9	14
15	но в	10	14
16	в этом	22	12
17	в их	3	11
18	в том	10	11
19	так и	7	10
20	отнюдь не	4	9
21	прежде всего	14	9
22	в смысле	5	9
23	не может	2	9
24	в себе	4	9
25	только в	11	9
26	так же	2	9
27	к тому	3	8
28	было бы	2	8
29	с одной	2	8
30	как и	8	7
31	по своему	2	7
32	того что	3	7
33	а также	3	7
34	с другой	2	7
35	также и	4	7
36	так как	6	7
37	с этой	4	6
38	вовсе не	13	6
39	том что	4	6
40	может быть	7	6
41	для того	8	6
42	как бы	10	6
43	то что	7	6
44	во всех	11	6
45	того чтобы	8	6
46	и даже	3	6
47	и на	7	6
48	то есть	10	6
49	в частности	5	5
50	не в	9	5
51	но не	5	5
52	как мы	6	5
53	в той	2	5
54	и по	3	5
55	от этого	2	5
56	и потому	2	5
57	именно в	2	4
58	или иной	2	4
59	можно сказать	2	4
60	то в	2	4
61	по себе	2	4
62	не на	3	4
63	тем более	3	4
64	как это	2	4
65	мира в	3	4
66	место в	4	3
67	и к	2	3
68	этом отношении	2	3
69	с тем	2	3
70	никогда не	6	3
71	жизни в	4	3
72	в них	7	3
73	и от	2	3
74	с другом	4	3
75	мы видели	2	3
76	того же	3	3
77	в прошлом	3	3
78	друг с	4	3
79	из них	8	3
80	не является	3	3
81	что и	3	3
82	ее в	3	3
83	как в	4	3
84	и только	2	3
85	и для	9	3
86	и прежде	3	3
87	как на	2	3
88	к ним	2	3
89	в которых	3	3
90	потому что	8	3
91	во всяком	2	3
92	тем что	3	3
93	в данном	2	3
94	во все	2	3
95	о том	4	3
96	там где	2	3
97	большинстве случаев	3	3
98	мира и	9	3
99	что все	2	2
100	и более	2	2
101	а не	4	2
102	в этих	3	2
103	еще более	4	2
104	и во	6	2
105	с этим	5	2
106	в большинстве	3	2
107	и все	6	2
108	в одном	7	2
109	представление о	2	2
110	одном из	2	2
111	одна и	2	2
112	что на	3	2
113	влияние на	2	2
114	же в	4	2
115	и как	3	2
116	и имеет	2	2
117	это значит	3	2
118	между ними	2	2
119	и рядом	2	2
120	она не	2	2
121	от друга	2	2
122	имеет место	3	2
123	дело идет	2	2
124	он не	5	2
125	в его	8	2
126	в котором	4	2
127	если в	2	2
128	точка зрения	3	2
129	в мире	4	2
130	друг от	2	2
131	жизни и	8	2
132	в некоторых	2	2
133	наряду с	2	2
134	вместе с	9	2
135	всего в	3	2
136	целый ряд	3	2
137	а в	3	2
138	таким образом	3	2
139	и других	2	2
140	и наконец	6	2
141	на основе	3	2
142	мы видим	2	2
143	и та	2	2
144	с большой	2	2
145	и с	6	2
146	хотя и	3	2
147	могут быть	2	2
148	в этой	2	2
149	в истории	4	2
150	далеко не	2	2
