N	2gram	Tiupa_Lite_3	RusskieA
1	и в	16	36
2	не только	14	22
3	что в	2	19
4	том что	8	19
5	в том	12	17
6	но и	14	16
7	в этом	14	12
8	это не	5	10
9	как мы	2	10
10	как и	5	10
11	вместе с	5	10
12	и на	2	10
13	потому что	3	10
14	а в	5	9
15	состоит в	6	8
16	у нас	2	8
17	из них	4	8
18	может быть	12	8
19	один из	2	8
20	о том	6	8
21	как это	3	8
22	что и	2	7
23	так и	9	7
24	между тем	3	7
25	и не	22	6
26	при этом	15	6
27	уже не	3	6
28	то что	12	6
29	все же	2	5
30	как будто	4	5
31	как бы	8	5
32	а и	2	5
33	с ними	2	5
34	одно из	4	5
35	как в	5	5
36	к этому	2	4
37	к тому	6	4
38	в г	3	4
39	по существу	4	4
40	представляет собой	2	4
41	еще не	6	4
42	связи с	2	4
43	вплоть до	2	4
44	еще в	3	4
45	и а	3	4
46	во всех	2	4
47	не может	8	4
48	входит в	4	4
49	того что	9	4
50	тем что	2	4
51	только в	7	4
52	не менее	2	3
53	к жизни	2	3
54	о чем	3	3
55	песни и	2	3
56	в качестве	5	3
57	в одном	4	3
58	в свою	2	3
59	и к	3	3
60	несмотря на	2	3
61	а также	4	3
62	не с	2	3
63	своего рода	10	3
64	то же	9	3
65	с точки	3	3
66	так же	2	3
67	точки зрения	7	3
68	как например	2	3
69	то есть	5	3
70	далеко не	2	3
71	в области	3	3
72	что ему	2	2
73	в частности	11	2
74	что у	2	2
75	не означает	2	2
76	только для	3	2
77	и потому	2	2
78	в нем	2	2
79	в жизни	8	2
80	и как	3	2
81	но не	4	2
82	до конца	4	2
83	отнюдь не	3	2
84	когда он	2	2
85	например в	3	2
86	в его	6	2
87	нас к	2	2
88	и с	2	2
89	в целом	5	2
90	с ней	2	2
91	в е	8	2
92	е годы	9	2
93	тогда как	17	2
94	в году	5	2
95	а не	12	2
96	и для	4	2
97	в своих	2	2
98	не случайно	3	2
99	хотя и	4	2
100	себя и	2	2
101	на себя	2	2
102	но в	3	2
103	там где	3	2
