N	2gram	Tiupa_Lite_2	Russkaja
1	не может	9	22
2	и не	11	19
3	в том	10	17
4	в этом	9	17
5	и в	19	14
6	то что	7	13
7	то же	12	11
8	точки зрения	4	11
9	же время	9	10
10	но и	10	10
11	в то	9	10
12	том что	7	9
13	не только	8	9
14	в себе	6	9
15	с точки	3	9
16	может быть	17	9
17	прежде всего	4	8
18	как на	3	8
19	отнюдь не	4	7
20	в данном	3	7
21	о том	2	7
22	и с	3	7
23	что он	3	6
24	и к	2	6
25	с тем	2	6
26	для него	4	6
27	для того	2	6
28	для всех	5	6
29	если в	2	6
30	и для	3	6
31	в своих	2	6
32	в россии	2	6
33	себя и	2	5
34	жизни в	4	5
35	хотя бы	2	5
36	и на	6	5
37	при этом	6	5
38	было бы	2	5
39	он не	5	5
40	никогда не	3	5
41	в нем	3	5
42	во всех	3	5
43	и только	2	5
44	по существу	3	5
45	а потому	2	5
46	из которых	2	5
47	а в	3	5
48	потому что	2	5
49	во имя	2	5
50	но не	5	4
51	что в	4	4
52	в мире	9	4
53	как и	10	4
54	все что	2	4
55	как бы	2	4
56	себе и	3	4
57	все же	2	4
58	себя в	6	4
59	жизни и	4	4
60	вместе с	5	4
61	со стороны	3	4
62	в их	3	4
63	путь к	2	4
64	не в	4	4
65	и то	3	4
66	в этой	3	4
67	в его	4	4
68	и т.д	7	4
69	так как	3	4
70	к этой	2	4
71	в конце	2	3
72	этом случае	2	3
73	и как	3	3
74	в другом	3	3
75	то в	2	3
76	в качестве	5	3
77	еще не	2	3
78	том чтобы	3	3
79	одной из	2	3
80	для этого	2	3
81	что и	2	3
82	и т	2	3
83	из них	2	3
84	данном случае	3	3
85	не было	2	3
86	того что	5	3
87	друг друга	2	3
88	тем что	4	3
89	одна из	5	3
90	в частности	4	2
91	у него	2	2
92	состоит в	9	2
93	уже не	2	2
94	так что	4	2
95	но это	3	2
96	за то	2	2
97	в ней	4	2
98	речь идет	3	2
99	для себя	2	2
100	не к	2	2
101	для нас	2	2
102	по отношению	4	2
103	тогда как	9	2
104	и что	2	2
105	тем самым	3	2
106	а не	20	2
107	и наконец	2	2
108	и даже	8	2
109	не так	2	2
110	существование в	2	2
111	зависимость от	2	2
112	в глазах	3	2
113	в результате	2	2
114	даже и	2	2
115	на себя	2	2
116	в начале	3	2
117	с ним	2	2
118	в области	4	2
119	себя как	2	2
120	но в	2	2
