N	2gram	Nazirov_Tr_1	KFilosof
1	может быть	7	43
2	в его	3	39
3	в нем	4	31
4	не может	5	27
5	и не	7	26
6	и в	18	22
7	в себе	4	21
8	в ее	2	17
9	и его	6	17
10	в этом	9	13
11	ни в	2	12
12	для него	3	12
13	и это	2	12
14	все эти	3	11
15	не в	2	11
16	к нему	3	11
17	в своем	3	10
18	это не	5	10
19	все это	4	10
20	в целом	4	9
21	но и	4	9
22	как бы	7	9
23	и все	4	9
24	и здесь	2	7
25	что и	2	7
26	то что	4	7
27	я не	4	6
28	и я	2	6
29	в том	2	6
30	но это	4	6
31	отношение к	2	6
32	в мире	3	6
33	отнюдь не	3	6
34	он не	2	6
35	уже не	2	6
36	никогда не	2	5
37	но эта	2	5
38	то же	5	5
39	но все	2	5
40	не имеет	2	5
41	должно быть	3	5
42	его в	2	5
43	с ним	3	5
44	но в	6	5
45	как и	5	5
46	что я	4	5
47	не только	8	5
48	все же	5	5
49	что в	4	4
50	при этом	3	4
51	в одном	2	4
52	со мной	2	4
53	том что	4	4
54	тем самым	3	4
55	бы и	2	3
56	что это	5	3
57	до конца	2	3
58	нет в	2	3
59	я буду	2	3
60	и на	7	3
61	в то	5	3
62	о том	2	3
63	еще не	4	3
64	что этот	2	3
65	тем что	2	3
66	ее жизни	2	3
67	ничего не	2	3
68	это уже	2	2
69	прежде всего	4	2
70	вопрос о	2	2
71	и как	3	2
72	же время	6	2
73	что за	3	2
74	потому что	2	2
75	он и	2	2
76	а как	2	2
77	с его	2	2
78	и то	2	2
79	с тем	2	2
80	раз и	2	2
81	что он	6	2
82	в это	2	2
83	так и	5	2
84	как в	3	2
85	в виде	2	2
86	жизнь и	3	2
87	в данном	2	2
88	в этой	4	2
