N	2gram	Bakhtin_Fr_4	EvropaiE
1	и в	29	37
2	точки зрения	4	23
3	не только	10	18
4	с точки	2	17
5	в то	10	16
6	то же	10	15
7	в своем	3	14
8	в качестве	3	14
9	же время	8	14
10	но и	9	14
11	и не	16	14
12	но в	12	14
13	в этом	11	12
14	в их	2	11
15	в том	7	11
16	так и	11	10
17	прежде всего	8	9
18	не может	2	9
19	в себе	3	9
20	только в	2	9
21	так же	7	9
22	к тому	2	8
23	в ее	3	8
24	одной стороны	2	8
25	в своей	5	8
26	с одной	2	8
27	как и	12	7
28	по своему	4	7
29	между прочим	2	7
30	того что	3	7
31	а также	2	7
32	с другой	4	7
33	также и	4	7
34	так как	7	7
35	вовсе не	9	6
36	том что	3	6
37	может быть	2	6
38	для того	3	6
39	как бы	8	6
40	то что	4	6
41	того чтобы	3	6
42	и даже	3	6
43	и на	11	6
44	то есть	21	6
45	в частности	3	5
46	но не	2	5
47	одной из	2	5
48	со стороны	2	5
49	как мы	10	5
50	в той	2	5
51	и по	5	5
52	именно в	2	4
53	то в	3	4
54	в ней	3	4
55	не на	2	4
56	сказать что	5	4
57	место в	2	3
58	и к	2	3
59	уже и	2	3
60	никогда не	2	3
61	и со	2	3
62	жизни в	2	3
63	в них	7	3
64	в известной	3	3
65	мы видели	7	3
66	мы можем	3	3
67	того же	5	3
68	и мы	2	3
69	из них	6	3
70	во второй	2	3
71	как в	2	3
72	и для	2	3
73	как на	2	3
74	в результате	4	3
75	тем что	4	3
76	о том	2	3
77	дело в	2	3
78	там где	3	3
79	большинстве случаев	5	3
80	мира и	4	3
81	отметить что	3	3
82	в этих	2	2
83	в большинстве	6	2
84	и все	13	2
85	к нему	3	2
86	и эта	2	2
87	и как	3	2
88	такой же	3	2
89	есть в	2	2
90	но как	3	2
91	между ними	2	2
92	что это	5	2
93	по преимуществу	3	2
94	он не	3	2
95	в его	8	2
96	в котором	2	2
97	если в	2	2
98	жизни и	4	2
99	таким образом	20	2
100	на них	2	2
101	и других	3	2
102	и наконец	2	2
103	другой стороны	3	2
104	этот процесс	6	2
105	в других	2	2
106	мы видим	3	2
107	или в	2	2
108	в другой	2	2
109	в своих	2	2
110	и с	9	2
111	хотя и	2	2
112	в этой	13	2
113	и то	2	2
114	по своей	3	2
115	как будто	2	2
116	стороны в	2	2
117	далеко не	5	2
118	в эту	3	2
119	также в	2	2
