N	2gram	Bakhtin_sl_1	VLabPisa
1	таким образом	9	27
2	в этом	12	26
3	и в	41	25
4	и т	28	24
5	не только	16	22
6	может быть	14	21
7	хотя бы	3	20
8	и не	16	19
9	не может	14	17
10	в его	13	15
11	т д	5	15
12	в процессе	4	14
13	прежде всего	8	13
14	в том	3	13
15	в частности	2	12
16	все это	5	12
17	с другой	5	11
18	из них	3	11
19	не могут	3	10
20	в качестве	3	10
21	о том	3	10
22	к этому	2	9
23	для него	3	9
24	и др	14	9
25	но и	16	9
26	то же	14	9
27	т п	23	9
28	все эти	9	8
29	в своем	3	8
30	другой стороны	4	8
31	могут быть	19	8
32	из этих	3	7
33	как и	4	7
34	том что	2	7
35	было бы	3	7
36	во всех	17	7
37	не было	3	7
38	произведения и	2	7
39	а не	15	7
40	у него	3	6
41	это не	6	6
42	в себе	3	6
43	более или	3	6
44	том же	4	6
45	в основном	3	6
46	в нем	30	6
47	в зависимости	3	6
48	так и	11	6
49	или менее	3	6
50	бы и	3	6
51	и его	14	6
52	между тем	2	6
53	в то	14	6
54	в результате	3	5
55	тому что	2	5
56	же время	12	5
57	все же	7	5
58	зависимости от	3	5
59	в пределах	14	5
60	связи с	2	5
61	одним из	4	5
62	как бы	12	5
63	один из	4	5
64	в их	4	5
65	сказать что	2	5
66	только в	6	5
67	не в	7	5
68	не является	2	5
69	в плане	6	5
70	произведения как	3	5
71	к тому	3	4
72	никогда не	3	4
73	перед нами	4	4
74	в одном	2	4
75	в целом	2	4
76	что все	2	4
77	с его	4	4
78	можно сказать	2	4
79	в ее	2	4
80	в романе	21	4
81	одна из	2	4
82	в своей	7	4
83	в самом	5	4
84	даже в	2	4
85	всего произведения	2	4
86	как раз	2	4
87	в них	6	4
88	с ними	3	4
89	и к	5	3
90	всех этих	4	3
91	и ее	3	3
92	и мир	5	3
93	и от	4	3
94	или меньшей	4	3
95	этого типа	2	3
96	у нас	2	3
97	по существу	3	3
98	что они	2	3
99	большей или	4	3
100	или в	8	3
101	с этим	3	3
102	со своим	5	3
103	например в	2	3
104	у тургенева	7	3
105	далеко не	5	3
106	в котором	2	3
107	его в	3	3
108	именно в	3	3
109	образом в	3	3
110	того что	3	3
111	и по	2	3
112	при всем	3	3
113	так же	2	3
114	в слове	7	3
115	точки зрения	16	3
116	она не	3	3
117	в самых	2	2
118	вне его	2	2
119	в каждом	4	2
120	у каждого	2	2
121	и непосредственно	5	2
122	связана с	2	2
123	и формы	4	2
124	формы и	3	2
125	произведения не	2	2
126	такое понимание	2	2
127	вовсе не	7	2
128	а как	2	2
129	роль в	2	2
130	из своих	2	2
131	или иной	9	2
132	остановимся на	2	2
133	до сих	2	2
134	и потому	4	2
135	но не	2	2
136	всех его	7	2
137	смысле слова	2	2
138	еще не	4	2
139	одной стороны	4	2
140	и может	3	2
141	в большей	3	2
142	для того	2	2
143	одной из	3	2
144	меньшей степени	4	2
145	на язык	2	2
146	в ней	4	2
147	и даже	6	2
148	всяком случае	5	2
149	он может	2	2
150	сих пор	2	2
151	все они	7	2
152	может не	8	2
153	а в	6	2
154	в особенности	8	2
155	с одной	4	2
156	между ними	2	2
157	и для	4	2
158	у них	2	2
159	можно было	2	2
160	с другими	5	2
161	также и	3	2
162	во всяком	7	2
163	хотя и	2	2
164	лишь в	4	2
165	он в	5	2
166	он не	3	2
167	включен в	2	2
168	в другом	2	2
169	ту же	4	2
170	единого и	4	2
171	того или	2	2
172	от его	3	2
173	могут не	2	2
174	которые в	3	2
175	в которой	4	2
176	которая не	3	2
177	же как	2	2
178	в сознании	2	2
179	но в	8	2
