N	2gram	Propp_Morf_1	Tragedij
1	и в	13	18
2	в этом	14	9
3	не только	4	8
4	и не	12	7
5	может быть	52	7
6	как бы	3	7
7	в образе	4	6
8	что он	4	6
9	но в	2	6
10	все же	7	5
11	так и	6	5
12	это не	6	5
13	не может	14	5
14	то же	7	5
15	как и	3	5
16	в то	3	5
17	несмотря на	4	5
18	но и	4	4
19	то что	8	4
20	в целом	3	4
21	что в	8	4
22	прежде всего	9	4
23	так же	3	4
24	том что	4	4
25	но это	6	4
26	в этой	2	4
27	и что	2	4
28	еще не	3	4
29	об этом	4	4
30	один из	5	3
31	никто не	3	3
32	как в	3	3
33	все эти	2	3
34	в поле	4	3
35	и как	5	3
36	к нему	3	3
37	как будто	2	3
38	как это	3	3
39	не имеет	2	2
40	перед нами	10	2
41	не могут	4	2
42	что и	7	2
43	как же	2	2
44	в частности	2	2
45	и за	2	2
46	который в	2	2
47	вопрос о	7	2
48	уже не	2	2
49	с его	2	2
50	к тому	4	2
51	и здесь	5	2
52	в ходе	4	2
53	в том	6	2
54	друг друга	3	2
55	но все	3	2
56	не в	3	2
57	вряд ли	2	2
58	одна из	4	2
59	потому что	3	2
60	в первом	3	2
61	с тем	2	2
62	тем что	4	2
63	в виде	2	2
64	в глаза	2	2
65	и ее	3	2
66	о том	2	2
67	его в	2	2
68	что эти	2	2
69	это уже	3	2
70	ничего не	4	2
71	он не	3	2
72	что она	2	2
